"IDRSSD"	RCFDF240	RCFDF241	RCFDF242	RCFDF243	RCFDF244	RCFDF245	RCFDF246	RCFDF247	RCFDF248	RCFDF249	RCFDF250	RCFDF251	RCFDF252	RCFDF253	RCFDF254	RCFDF255	RCFDF256	RCFDF257	RCFDF258	RCFDF259	RCFDF260	RCFDF261	RCFDF262	RCFDF263	RCFDF682	RCFDF683	RCFDF684	RCFDF685	RCFDF686	RCFDF687	RCFDF688	RCFDF689	RCFDF690	RCFDF691	RCFDF692	RCFDF693	RCFDF694	RCFDF695	RCFDF696	RCFDF697	RCONF240	RCONF241	RCONF242	RCONF243	RCONF244	RCONF245	RCONF246	RCONF247	RCONF248	RCONF249	RCONF250	RCONF251	RCONF252	RCONF253	RCONF254	RCONF255	RCONF256	RCONF257	RCONF258	RCONF259	RCONF260	RCONF261	RCONF262	RCONF263	RCONF682	RCONF683	RCONF684	RCONF685	RCONF686	RCONF687	RCONF688	RCONF689	RCONF690	RCONF691	RCONF692	RCONF693	RCONF694	RCONF695	RCONF696	RCONF697	
49344																																																																																	
49643																																																																																	
49652																																																																																	
49821																																																																																	
49858																																																																																	
49951																																																																																	
50144																																																																																	
50461																																																																																	
50546																																																																																	
50854																																																																																	
50957																																																																																	
51253																																																																																	
51356																																																																																	
51459																																									644	644	0	0	0	0	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
51730																																																																																	
51842																																																																																	
52410																																																																																	
52719																																																																																	
52951																																																																																	
53015																																																																																	
53033																																																																																	
53051																																																																																	
53239																																																																																	
53453																																																																																	
53752																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54049																																																																																	
54058																																																																																	
54357																																																																																	
54375																																																																																	
54441																																																																																	
54656																																																																																	
55176																																																																																	
55336																																																																																	
55635																																																																																	
55653																																																																																	
56258																																																																																	
56351																																																																																	
56427																																																																																	
56548																																																																																	
56557																																																																																	
56717																																																																																	
57040																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57228																																																																																	
57255																																																																																	
57451																																																																																	
57572																																																																																	
57956																																																																																	
58074																																																																																	
58207																																																																																	
58225																																																																																	
58243																																																																																	
58355																																																																																	
58551																																																																																	
58636																																																																																	
58757																																																																																	
58971																																																																																	
59316																																																																																	
59352																																																																																	
59679																																																																																	
59754																																																																																	
60143	0	0	0	0	0	0	754969	720653	34216	0	0	0	0	0	0	661555	661555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0																																									
60330																																																																																	
60433																																																																																	
60545																																																																																	
60554																																																																																	
60648																																																																																	
61122																																																																																	
61355																																																																																	
61476																																																																																	
61533																																																																																	
61757																																																																																	
61832																																																																																	
61953																																																																																	
62044																																																																																	
62147																																																																																	
63050																																																																																	
63069	0	0	0	0	0	0	295598	3789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291809	0	0	0	0	0	0																																									
63078																																																																																	
63201																																																																																	
63359																																																																																	
63573																																																																																	
63733																																																																																	
63742																																																																																	
63751																																																																																	
64150																																																																																	
64543																																																																																	
64552																																																																																	
64619																																																																																	
64730																																																																																	
65205																																																																																	
65241																																																																																	
65513																																																																																	
65559																																																																																	
65746																																																																																	
65858																																																																																	
66015																																																																																	
66154																																																																																	
66172																																																																																	
66275																																																																																	
66837																																																																																	
67142																																																																																	
67151																																																																																	
67209																																																																																	
67254																																																																																	
67311																																									0	0	0	10937	10937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
68345																																																																																	
68448																																																																																	
68756																																																																																	
68831																																																																																	
68840																																																																																	
68859																																																																																	
68943																																																																																	
69333																																																																																	
69678																																																																																	
69847																																																																																	
70049																																																																																	
70058																																																																																	
70218																																																																																	
70254																																																																																	
70414																																																																																	
70638																																																																																	
70955																																																																																	
71318																																																																																	
71457																																																																																	
71859																																																																																	
72258																																																																																	
72351																																																																																	
72454																																																																																	
72678																																																																																	
73031																																																																																	
73116																																																																																	
73152																																																																																	
73554																																																																																	
73956																																																																																	
74056																																																																																	
74140																																									0	0	0	0	0	0	21775	21775	0	254512	230685	19828	0	0	0	23130	23130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3999	0	0	0	0	
74159																																																																																	
74403																																																																																	
74449																																																																																	
74458																																																																																	
75053																																																																																	
75259																																																																																	
75446																																																																																	
75455																																																																																	
75558																																																																																	
75633	0	0	0	0	0	0	1367833	1637004	0	0	0	0	77668	77668	0	416731	512266	0	0	0	0	0	0	0	0	269171	0	0	0	273332	0	0	0	0	0	0	0	177797	0	0																																									
75651																																																																																	
76050																																									0	0	0	0	0	0	10032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10032	0	0	0	0	0	0	
76135																																																																																	
76153																																																																																	
76443																																																																																	
76854																																																																																	
77150																																																																																	
77253																																																																																	
77347																																																																																	
77422																																																																																	
77758																																																																																	
77851																																																																																	
78036																																																																																	
78157																																																																																	
78241																																																																																	
78559																																																																																	
78643																																																																																	
78858																																																																																	
79042																																																																																	
79127																																																																																	
79145																																																																																	
79257																																																																																	
79855																																																																																	
80020																																																																																	
80150																																																																																	
80431																																																																																	
80552																																																																																	
80936																																																																																	
81429																																																																																	
82033																																																																																	
82257																																																																																	
82350																																																																																	
82659																																																																																	
83151																																																																																	
83236																																																																																	
83311																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
83357																																																																																	
83375																																																																																	
83638	0	0	0	0	0	0	1144	1144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																									
83834																																																																																	
83852																																																																																	
83955																																																																																	
84046																																																																																	
84055																																																																																	
84251																																																																																	
