"IDRSSD"	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONC980	RCONC981	RCONC982	RCONC983	RCONC984	RCONC985	RCONF264	
3389582	0	0	0	0	0	0	40399	48296	0	0	0	0	0	34032	0	0	0	34	34	0	0	0	34	0	0	0	0	0	0	0	0	0	121	381	0	0	0	0	0	0	268	987	7017	0	500	0	0	0	0	0	0	105	0	4304	29623	0	0	0	0	0	5710	0	0	141	0	-171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931	0	0	2	929	0	0	0	1213	7956	4306	36655	0	1591	2153	36655	40399	0	417	417	6898	0	0	0	0	0	0	0	0	0	
3390337	0	0	0	0	0	944	90414	113637	0	0	0	0	0	84971	0	0	0	1067	1067	0	250	0	817	0	0	0	0	0	0	0	0	0	1410	2506	0	0	0	0	0	0	125	0	11269	0	0	0	0	0	0	0	0	0	10781	6305	67885	0	0	0	0	0	4697	0	0	767	27	-1910	200	0	100	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9597	0	0	0	9597	0	0	0	1410	29448	6332	82302	0	5890	3166	82302	91358	0	3775	3775	15198	0	0	0	0	0	0	0	0	0	
3390627	0	0	0	0	0	1950	171404	198295	0	0	0	0	0	166967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	3132	0	0	0	0	0	0	440	1386	23184	0	0	0	0	0	0	0	0	0	2579	18751	145637	0	0	0	0	0	8347	0	0	246	1249	-3618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9978	0	0	9978	0	0	0	0	1784	29371	29978	152491	0	5874	14989	152491	173354	0	230	230	18929	0	0	0	0	0	0	0	0	0	
3390702	0	0	0	0	0	319	139121	156118	0	0	0	0	0	134235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	1537	0	0	0	0	0	0	509	2218	17970	0	39	0	0	0	0	0	0	0	0	11338	122897	0	0	0	0	0	3250	0	352	1049	80	-1562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3634	0	0	1434	2200	0	0	0	2736	30546	12852	126905	0	6109	6426	126905	139440	0	9990	9990	11032	0	0	0	0	0	0	0	0	0	
3391606	0	0	0	0	0	400	63602	72108	0	0	0	0	0	64086	0	0	0	530	530	0	0	0	530	0	0	0	0	0	0	0	0	0	332	1577	0	0	0	15559	0	0	0	0	0	0	0	0	0	0	0	0	0	673	0	19769	43644	0	0	0	0	0	3185	0	0	620	0	-1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2610	0	0	0	2610	0	0	0	1005	23838	19769	49349	0	4768	9885	49349	64002	0	6082	6082	9225	0	0	0	0	0	0	0	0	0	
3391718	0	0	0	0	0	102	90509	128570	0	0	0	0	0	91310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	2795	0	0	0	0	0	0	233	5343	19018	4905	0	0	0	0	0	0	0	0	0	30861	60449	0	0	0	0	0	5651	0	37	511	147	-1002	49	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2627	0	0	0	2627	0	0	0	5688	22864	35913	68081	0	4573	17957	68081	90611	0	540	540	10638	0	0	0	0	0	0	0	0	0	
3392292	0	0	0	0	0	284	132562	137845	0	0	0	0	0	121513	0	0	0	975	975	0	0	0	975	0	0	0	0	0	0	0	0	0	123	987	0	0	0	0	340	0	46	0	2783	0	2	0	0	0	0	0	0	0	2138	6963	112412	0	0	0	0	0	5512	0	0	519	0	-1865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9527	0	0	0	9527	0	0	0	123	6427	7303	127909	0	1285	3652	127909	132846	0	0	0	18074	0	0	0	0	0	0	0	0	0	
3392872	0	0	0	0	0	0	133920	169426	0	0	0	0	0	131056	0	0	0	9	9	0	0	0	9	0	0	0	0	0	0	0	0	0	1791	3427	0	0	0	0	0	0	390	0	9711	0	0	0	0	0	0	0	0	0	0	24479	106577	0	0	0	0	0	8131	0	0	0	0	-908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1791	34813	24479	114717	0	6963	12240	114717	133920	0	21675	21675	18890	0	0	0	0	0	0	0	0	0	
3392975	0	0	0	0	0	0	59438	55195	0	0	0	0	0	53306	0	0	0	220	220	0	0	0	220	0	0	0	0	0	0	0	0	0	125	1375	0	0	0	0	0	0	81	0	10203	0	0	0	0	0	0	0	0	0	0	8546	44760	0	0	0	0	0	4801	170	0	80	0	-358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3302	0	0	0	3302	0	0	0	125	11658	8546	52833	0	2332	4273	52833	59438	0	0	0	7168	0	0	0	0	0	0	0	0	0	
3393785	0	0	0	0	0	202	69648	94115	0	0	0	0	0	75363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	339	0	0	0	0	0	0	584	0	15805	0	0	0	0	0	0	0	0	0	0	27518	47845	0	0	0	0	0	3782	0	0	954	66	-491	0	0	0	0	0	72	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2119	0	0	319	1799	0	0	0	238	17098	27903	52478	0	3420	13952	52478	69850	0	0	0	9128	0	0	0	0	0	0	0	0	0	
3393806	0	0	0	0	0	0	54393	64022	0	0	0	0	0	51834	0	0	0	63	63	0	0	0	63	0	0	0	0	0	0	0	0	0	110	520	0	0	0	0	0	0	39	1390	6180	266	88	0	0	0	0	0	0	0	86	10764	40984	0	0	0	0	0	4411	0	5	29	66	-549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1947	0	0	0	1947	0	0	0	1505	7258	11096	47393	0	1452	5548	47393	54393	0	443	443	12449	0	0	0	0	0	0	0	0	0	
3393824	0	0	0	0	0	0	60490	55581	0	0	0	0	0	49250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	3455	0	0	0	0	0	0	48	0	2950	0	0	0	0	0	0	0	0	0	0	0	49250	0	0	0	0	0	1390	0	0	0	0	-449	388	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7181	0	0	0	7181	0	0	0	306	11405	0	58209	0	2281	0	58209	60490	0	5000	5000	6852	0	0	0	0	0	0	0	0	0	
3393851	0	0	0	0	0	118	57795	75940	0	0	0	0	0	54806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	701	0	0	0	0	0	0	223	4560	12346	0	0	0	0	0	505	0	0	0	0	12439	42367	0	0	0	0	0	4049	0	0	200	62	-619	114	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2702	0	0	419	2283	0	0	0	5071	13247	13425	48551	0	2649	6713	48551	57913	0	0	0	11142	0	0	0	0	0	0	0	0	0	
3394018	0	0	0	0	0	257	109869	131071	0	0	0	0	0	109290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	995	0	0	0	0	0	0	51	0	7888	0	300	0	0	0	0	0	0	0	929	27361	81000	0	0	0	0	0	5016	0	0	1069	128	-1583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5861	0	0	10	5851	0	0	0	273	27030	27499	90970	0	5406	13750	90970	110126	0	16149	16149	10537	0	0	0	0	0	0	0	0	0	
