"IDRSSD"	RCFD0211	RCFD0213	RCFD0416	RCFD1286	RCFD1287	RCFD1289	RCFD1290	RCFD1291	RCFD1293	RCFD1294	RCFD1295	RCFD1297	RCFD1298	RCFD1698	RCFD1699	RCFD1701	RCFD1702	RCFD1703	RCFD1705	RCFD1706	RCFD1707	RCFD1709	RCFD1710	RCFD1711	RCFD1713	RCFD1714	RCFD1715	RCFD1716	RCFD1717	RCFD1718	RCFD1719	RCFD1731	RCFD1732	RCFD1733	RCFD1734	RCFD1735	RCFD1736	RCFD1737	RCFD1738	RCFD1739	RCFD1741	RCFD1742	RCFD1743	RCFD1744	RCFD1746	RCFD1754	RCFD1771	RCFD1772	RCFD1773	RCFD1778	RCFD8496	RCFD8497	RCFD8498	RCFD8499	RCFD8782	RCFD8783	RCFDA248	RCFDA510	RCFDA511	RCFDA549	RCFDA550	RCFDA551	RCFDA552	RCFDA553	RCFDA554	RCFDA555	RCFDA556	RCFDA557	RCFDA558	RCFDA559	RCFDA560	RCFDA561	RCFDA562	RCFDB838	RCFDB839	RCFDB840	RCFDB841	RCFDB842	RCFDB843	RCFDB844	RCFDB845	RCFDB846	RCFDB847	RCFDB848	RCFDB849	RCFDB850	RCFDB851	RCFDB852	RCFDB853	RCFDB854	RCFDB855	RCFDB856	RCFDB857	RCFDB858	RCFDB859	RCFDB860	RCFDB861	RCFDC026	RCFDC027	RCFDC988	RCFDC989	RCON0211	RCON0213	RCON0416	RCON1286	RCON1287	RCON1289	RCON1290	RCON1291	RCON1293	RCON1294	RCON1295	RCON1297	RCON1298	RCON1698	RCON1699	RCON1701	RCON1702	RCON1703	RCON1705	RCON1706	RCON1707	RCON1709	RCON1710	RCON1711	RCON1713	RCON1714	RCON1715	RCON1716	RCON1717	RCON1718	RCON1719	RCON1731	RCON1732	RCON1733	RCON1734	RCON1735	RCON1736	RCON1737	RCON1738	RCON1739	RCON1741	RCON1742	RCON1743	RCON1744	RCON1746	RCON1754	RCON1771	RCON1772	RCON1773	RCON1778	RCON8496	RCON8497	RCON8498	RCON8499	RCON8782	RCON8783	RCONA248	RCONA510	RCONA511	RCONA549	RCONA550	RCONA551	RCONA552	RCONA553	RCONA554	RCONA555	RCONA556	RCONA557	RCONA558	RCONA559	RCONA560	RCONA561	RCONA562	RCONB838	RCONB839	RCONB840	RCONB841	RCONB842	RCONB843	RCONB844	RCONB845	RCONB846	RCONB847	RCONB848	RCONB849	RCONB850	RCONB851	RCONB852	RCONB853	RCONB854	RCONB855	RCONB856	RCONB857	RCONB858	RCONB859	RCONB860	RCONB861	RCONC026	RCONC027	RCONC988	RCONC989	
3487385																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	
3487433																																																																																																						0	0	5547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4251	4354	0	0	0	0	0	0	1156	1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5407	5547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	419	3661	1193	0																									0	0	0	0	
3487509																																																																																																						0	0	4708	0	0	0	0	0	0	0	0	7999	8015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7999	8015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2507	5508	0	0	0	0	0	0	0	0																									0	0	0	0	
3487518																																																																																																						0	0	60251	0	0	0	0	0	0	0	0	79050	80004	0	0	14683	15008	0	0	10345	10683	0	0	0	0	0	0	15655	15919	0	0	0	0	0	0	838	715	0	0	5619	4378	0	0	0	0	0	0	132766	131379	0	0	0	151	151	13097	13138	7010	0	0	4756	6307	8532	11736	51568	6155	12004	3004	0	0	7284	3399	3868	12766																									0	4521	0	6425	
3487947																																																																																																						0	0	1776	0	0	0	0	0	0	0	0	4501	4660	0	0	0	0	0	0	12599	13164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17100	17824	0	0	0	0	0	0	0	0	0	0	0	0	0	4660	0	0	0	0	0	0	11013	2151	0	0																									0	0	0	0	
3488579																																																																																																						0	0	10817	0	0	0	0	0	0	2000	2028	0	0	0	0	0	0	11458	11754	0	0	0	0	0	0	766	756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14824	15138	0	0	0	600	600	0	0	0	0	0	0	0	0	0	0	2000	600	0	0	0	0	0	0	11458	766	0																									0	0	0	0	
3488869																																																																																																						0	0	3094	0	0	0	0	0	0	0	0	10058	10302	0	0	0	0	0	0	1262	1307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11320	11609	0	0	0	0	0	0	0	0	0	0	0	0	0	1043	7920	1339	0	0	0	0	0	1307	0	0																									0	0	0	0	
3488980																																																																																																						0	0	3236	0	0	0	0	0	0	0	0	3687	3744	0	0	1577	1594	0	0	4330	4521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9594	9859	0	0	0	0	0	0	0	0	0	0	0	0	2733	1011	0	0	0	0	0	0	6115	0	0	0																									0	0	0	0	
3489035																																																																																																						0	0	0	0	0	0	0	0	0	0	0	8906	8906	0	0	3105	3105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12011	12011	0	0	0	0	0	0	0	0	0	0	556	0	1038	2170	5143	0	0	0	0	1050	2054	0	0	0																									0	0	0	0	
3489071																																																																																																						0	0	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	818	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	818	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	156	0	0	0	0																									0	0	0	0	
