RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,34452,2012-06-30
,,,,,,,,,,,,,,,,,,,,34537,2012-06-30
,,,,,,,,,,,,,,,,,,,,34555,2012-06-30
,,,,,,,,,,,,,,,,,,,,34742,2012-06-30
,,,,,,,,,,,,,,,,,,,,34836,2012-06-30
,,,,,,,,,,,,,,,,,,,,35057,2012-06-30
,,,,,,,,,,,,,,,,,,,,35301,2012-06-30
,,,,,,,,,,,,,,,,,,,,35570,2012-06-30
,,,,,,,,,,,,,,,,,,,,35646,2012-06-30
,,,,,,,,,,,,,,,,,,,,35842,2012-06-30
,,,,,,,,,,,,,,,,,,,,35879,2012-06-30
,,,,,,,,,,,,,,,,,,,,36054,2012-06-30
,,,,,,,,,,,,,,,,,,,,36456,2012-06-30
,,,,,,,,,,,,,,,,,,,,36933,2012-06-30
,,,,,,,,,,,,,,,,,,,,37051,2012-06-30
,,,,,,,,,,,,,,,,,,,,37341,2012-06-30
,,,,,,,,,,,,,,,,,,,,37378,2012-06-30
,,,,,,,,,,,,,,,,,,,,37435,2012-06-30
,,,,,,,,,,,,,,,,,,,,37640,2012-06-30
,,,,,,,,,,,,,,,,,,,,37659,2012-06-30
,,,,,,,,,,,,,,,,,,,,37743,2012-06-30
,,,,,,,,,,,,,,,,,,,,37949,2012-06-30
,,,,,,,,,,,,,,,,,,,,38535,2012-06-30
,,,,,,,,,,,,,,,,,,,,38740,2012-06-30
,,,,,,,,,,,,,,,,,,,,39327,2012-06-30
,,,,,,,,,,,,,,,,,,,,39420,2012-06-30
,,,,,,,,,,,,,,,,,,,,39475,2012-06-30
,,,,,,,,,,,,,,,,,,,,39756,2012-06-30
,,,,,,,,,,,,,,,,,,,,40033,2012-06-30
,,,,,,,,,,,,,,,,,,,,40350,2012-06-30
,,,,,,,,,,,,,,,,,,,,40707,2012-06-30
,,,,,,,,,,,,,,,,,,,,40855,2012-06-30
,,,,,,,,,,,,,,,,,,,,41245,2012-06-30
,,,,,,,,,,,,,,,,,,,,41553,2012-06-30
,,,,,,,,,,,,,,,,,,,,41629,2012-06-30
,,,,,,,,,,,,,,,,,,,,41759,2012-06-30
,,,,,,,,,,,,,,,,,,,,41825,2012-06-30
,,,,,,,,,,,,,,,,,,,,41937,2012-06-30
,,,,,,,,,,,,,,,,,,,,41955,2012-06-30
,,,,,,,,,,,,,,,,,,,,42037,2012-06-30
,,,,,,,,,,,,,,,,,,,,42055,2012-06-30
,,,,,,,,,,,,,,,,,,,,42354,2012-06-30
,,,,,,,,,,,,,,,,,,,,42372,2012-06-30
,,,,,,,,,,,,,,,,,,,,42420,2012-06-30
,,,,,,,,,,,,,,,,,,,,42448,2012-06-30
