RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,172,18,1,0,170,17,,,,,,,,,,,,,,,,,,,,,,,20053,2001-09-30
,,644,0,181,0,588,125,,,,,,,,,,,,,,,,,,,,,,,20147,2001-09-30
,,207,30,18,0,189,30,,,,,,,,,,,,,,,,,,,,,,,20259,2001-09-30
,,1224,510,598,0,1029,913,,,,,,,,,,,,,,,,,,,,,,,20370,2001-09-30
,,610,0,22,0,635,47,,,,,,,,,,,,,,,,,,,,,,,20512,2001-09-30
,,1850,250,150,0,1500,50,,,,,,,,,,,,,,,,,,,,,,,20633,2001-09-30
,,70,0,1,0,74,5,,,,,,,,,,,,,,,,,,,,,,,20754,2001-09-30
,,683,108,10,0,578,13,,,,,,,,,,,,,,,,,,,,,,,20839,2001-09-30
,,223,57,0,0,188,22,,,,,,,,,,,,,,,,,,,,,,,20857,2001-09-30
,,350,50,33,0,342,75,,,,,,,,,,,,,,,,,,,,,,,20866,2001-09-30
,,62,0,1,0,66,5,,,,,,,,,,,,,,,,,,,,,,,21256,2001-09-30
,,121,0,0,0,122,1,,,,,,,,,,,,,,,,,,,,,,,21359,2001-09-30
,,289,31,7,0,270,19,,,,,,,,,,,,,,,,,,,,,,,21630,2001-09-30
,,620,18,3,0,605,6,,,,,,,,,,,,,,,,,,,,,,,21658,2001-09-30
,,879,276,20,0,892,309,,,,,,,,,,,,,,,,,,,,,,,22048,2001-09-30
,,2126,430,97,0,1848,249,,,,,,,,,,,,,,,,,,,,,,,22235,2001-09-30
,,1454,270,170,0,1197,183,,,,,,,,,,,,,,,,,,,,,,,22356,2001-09-30
,,847,71,25,0,807,56,,,,,,,,,,,,,,,,,,,,,,,22459,2001-09-30
,,322,3,1,0,320,2,,,,,,,,,,,,,,,,,,,,,,,22543,2001-09-30
,,484,133,9,0,554,212,,,,,,,,,,,,,,,,,,,,,,,22552,2001-09-30
,,652,101,79,0,784,312,,,,,,,,,,,,,,,,,,,,,,,22730,2001-09-30
,,49699,58987,3309,-9252,23511,12248,,,,,,,,,,,,,,,,,,,,,,,22860,2001-09-30
,,951,275,82,0,793,199,,,,,,,,,,,,,,,,,,,,,,,22936,2001-09-30
,,585,63,22,0,531,31,,,,,,,,,,,,,,,,,,,,,,,22954,2001-09-30
,,2329,517,25,0,2145,358,,,,,,,,,,,,,,,,,,,,,,,23036,2001-09-30
,,224,0,3,0,221,0,,,,,,,,,,,,,,,,,,,,,,,23045,2001-09-30
,,26619,5085,1071,0,22065,8819,,,,,,,,,,,,,,,,,,,,,,,23241,2001-09-30
,,907,65,2,0,857,17,,,,,,,,,,,,,,,,,,,,,,,23344,2001-09-30
,,401,21,1,0,392,13,,,,,,,,,,,,,,,,,,,,,,,23456,2001-09-30
,,2301,230,57,0,2100,86,,,,,,,,,,,,,,,,,,,,,,,23504,2001-09-30
,,393,9,1,0,397,14,,,,,,,,,,,,,,,,,,,,,,,23540,2001-09-30
,,786,300,16,0,628,158,,,,,,,,,,,,,,,,,,,,,,,23643,2001-09-30
,,398,106,3,0,371,82,,,,,,,,,,,,,,,,,,,,,,,23755,2001-09-30
,,6282,1770,147,0,6609,2244,,,,,,,,,,,,,,,,,,,,,,,23812,2001-09-30
,,1460,180,26,0,1287,33,,,,,,,,,,,,,,,,,,,,,,,24006,2001-09-30
,,20535,3800,539,0,13280,2548,,,,,,,,,,,,,,,,,,,,,,,24266,2001-09-30
,,289,0,9,0,286,6,,,,,,,,,,,,,,,,,,,,,,,24453,2001-09-30
,,257,79,0,0,222,44,,,,,,,,,,,,,,,,,,,,,,,24659,2001-09-30
,,588,60,29,0,545,46,,,,,,,,,,,,,,,,,,,,,,,24668,2001-09-30
