"IDRSSD"	RIAD4097	RIAD4235	RIAD4239	RIAD4341	RIAD4797	RIAD4843	RIAD4844	RIAD4845	RIAD4846	RIADB523	RIADB524	RIADB525	
	NON INT INCM OF INTL BUSINESS	PROV FOR LOAN LOSS, INTL BUSINESS	NON-INT EXPENSE, INTL BUSINESS	NET INCM ATTRIB TO INTL BUSINESS	INCOME TAX ATTRIB TO INTL BUSINESS	NET NON-INT INC(EXP) ATTRIB TO INT O	EST PRETAX INC ATTRIG TO INT OPR	ADJ TO PRETAX INC FOR INTERNAL ALLOC	EST PRETAX INC ATTRIB TO INT OPR AFT	GROSS INTEREST INCOME (INTERNL OPER)	GROSS INTEREST EXPENSE (INTERNL OPER	NET INTEREST INCOME (INTERNATL OPER)	
173342													
173548													
173557													
173575													
173641													
173959													
174321													
174367													
174406													
174451													
175056													
175140													
175458													
175560													
175609													
175672													
176053													
176101													
176240													
176325													
176437													
176464													
176642													
177135													
177443													
177500													
177546													
177555													
177751													
177920													
177957													
178020	0	0	0	0	0	0	0	0	0	0	0	0	
178057													
178150													
178244													
178271													
178356													
178851													
179148													
179335													
179559													
179700													
179755													
180041													
180078													
180144													
180201													
180416													
180443													
180537													
180649													
180845													
181169													
181347													
181459													
181758													
181851													
181963													
182054													
182157													
182175													
182353													
182401													
182540													
182652													
182951													
183042													
183051													
183154													
183668													
183770													
183846													
183958													
184142													
184245													
184656													
184759													
184937													
185037													
185251													
185448													
185457													
185859													
186221													
186548													
186557													
186650													
186717													
186744													
186838													
186856													
187358													
187451													
187648													
187947													
188056													
188261													
188364													
188430													
188449													
188720													
188739													
188757													
188917													
188926													
189044													
189129													
189352													
189419													
189530													
189549													
189745													
189820													
189950													
190246													
190451													
190554													
190563													
190639													
190648													
190732													
190947													
190956													
191355													
191449													
191458													
191663													
191805													
191832													
191935													
191944													
192147													
192156													
192558													
192651													
192857													
193162													
193247													
193452													
193461													
193470													
193537													
193649													
193809													
194253													
194440													
194936													
195072													
195111													
195157													
195353													
195456													
196257													
196350													
196426													
196743													
196752													
196800													
197142													
197254													
197302													
197357													
197478													
197740													
197759													
198046													
198103													
198149													
198251													
198448													
198831													
198859													
198961													
199052													
199137													
199351													
199436													
199454													
199463													
199940													
200042													
200435													
200640													
201049													
201124													
201254													
201441													
201638													
201647													
201834													
202251													
202514													
202541													
202550													
202907													
203052													
203333													
203418													
203575													
203753													
203847													
204004													
204237													
204808													
204826													
205159													
205243													
205346													
205430													
205458													
205542													
205654													
206156													
206174													
206567													
206772													
206950													
207041													
207050													
207452													
207555													
207564													
207845													
207872													
207957													
208057													
208169													
208244													
208347													
208440													
208459													
208655													
208927													
208972													
209139													
209148													
209335													
209362													
209447													
209559													
