"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
12937	0	0	0	0		0	0	0		47710	71373	233	0	0	0	0		0		0	0	48100	0	0	0	0	0	0	0	0	0	0		
12946	0	0	0	0		0	0	0		265603	146000	600	0	0	0	0		0		0	0	77777	0	0	0	0	0	0	75821	75821	0	0		
12955	12	0	0	0		0	0	0		46988	41680	115	0	0	0	0		0		0	0	30180	0	0	0	0	0	0	0	0	0	0		
13037	0			0		0	0	0		77917	17445	91	0			0		0		0	0	8345	0	0	0	0	0	0	0	0	0			
13103	0	0	0	139		0	0	0		418719	252819	1090	0	0	0	0		0		0	0	138546	0	0	0	0	0	0	0	0	0	0		
13251	0	0	0	0		0	0	0		18897	10708	57	0	0	0	0		0		0	0	2367	0	0	0	0	0	0	0	0	0	0		
13457	0	0	0	0		0	0	0		11114	3673	18	0	0	0	0		0		0	0	2243	0	0	0	0	0	0	0	0	0	0		
14052	0	0	0	0		0	0	0		39521	16831	94	0	0	0	0		0		0	0	7431	0	0	0	0	0	0	0	0	0	0		
14155	0	1	0	0		0	0	0		54189	13998	67	0	0	0	0		0		0	0	3000	0	0	0	0	0	0	0	0	0	0		
14258	1	0	0	0		0	0	0		194283	383186	968	2	0	0	0		0		0	0	286385	0	0	0	0	0	0						
14409	0	0	0	260222	0	0	0	28	0	9703976	12672976	36355	0	0	0	0		0	0	1952	0	9037476	0	0	0	0	0	0	0	0	0	0		
14454	0	0	0	0		0	0	0		21784	16330	92	0	0	0	0		0		0	0	3736	0	0	0	0	0	0	0	0	0	0		
14650	0	0	0	0		0	0	0		17920	5111	26	0	0	0	0		0		0	0	2511	0	0	0	0	0	0						
14753	0	0	0	0		0	0	0		19510	5221	25	0	0	0	0		0		0	0	1071	0	0	0	0	0	0	0	0	0	0		
14865	0	0	0	0		0	0	0		96654	48204	193	0	0	0	0		0		0	0	9844	0	0	0	0	0	0	0	0	0	0		
14940	0	0	0	0		0	0	0		77740	44355	237	0	0	0	0		0		0	0	21056	0	0	0	0	0	0	0	0	0	0		
15536	0			0		0	0	0		666544	321097	1765	0			0		0		0	0	198265	0	0	0	0	0	0	0	0	0			
16337	0	0	0	0		0	0	0		174881	101109	387	0	0	0	0		0		0	0	64791	0	0	0	0	0	0	0	0	0	0		
16458	1983	0	0	0		0	0	0		100875	56946	261	0	0	0	0		0		0	0	30847	0	0	0	0	0	0	0	0	0	0		
16551	0	0	0	0		0	0	0		55889	39017	145	0	0	0	0		0		0	0	6532	0	0	0	0	0	0	0	0	0	0		
16748	0			0		0	0	0		33123	5413	32	0			0		0		0	0	4381	0	0	0	0	0	0	0	0	0			
16944	0	0	0	0		0	0	0		20273	4159	25	0	0	0	0		0		0	0	2320	0	0	0	0	0	0	0	0	0	0		
16953	14	0	0	0		0	0	0		20077	5229	25	2	0	0	0		0		0	0	2729	0	0	0	0	0	0	0	0	0	0		
17110	0			0		0	0	0		16612	91551	219	0			0		0		0	0	73171	0	0	0	0	0	0	0	0	0			
17147	0	0	0	0		0	0	0		303536	356881	758	0	0	0	0		0		0	0	181524	0	0	0	0	0	0	0	0	0	0		
17259	0	18	1	0		0	0	0		37635	10382	51	0	0	0	0		0		0	0	2923	0	0	0	0	0	0	0	0	0	0		
17464	0	0	0	0		0	0	0		336641	501417	1315	7	0	0	0		0		0	0	426579	0	0	0	0	0	0	0	0	0	0		
17549	0	0	0	0		0	0	0		127044	88558	439	0	0	0	0		0		0	0	61560	0	0	0	0	0	0	0	0	0	0		
17839	0	0	0	0		0	0	0		73405	65275	215	0	0	0	0		0		0	0	49155	0	0	0	0	0	0	0	0	0	0		
17950	0	2	0	0		0	0	0		66330	47102	203	0	1	0	0		0		0	0	26802	0	0	0	0	0	0	0	0	0	0		
18050	0	0	0	0		0	0	0		145865	69335	289	0	0	0	0		0		0	0	40435	0	0	0	0	0	0	0	0	0	0		
18135	0	0	0	0		0	0	0		74585	66817	249	0	0	0	0		0		0	0	39354	0	0	0	0	0	0	0	0	0	0		
18368	114	0	0	0		0	0	0		168026	228036	857	0	0	0	0		0		0	0	172889	0	0	0	0	0	0	0	0	0	0		
18377	0	0	0	0		0	0	0		18556	1255	11	0	0	0	0		0		0	0	156	0	0	0	0	0	0	0	0	0	0		
18827	0	0	0	0		0	0	0		93959	47797	170	0	0	0	0		0		0	0	16149	0	0	0	0	0	0	0	0	0	0		
18836	0			0		0	0	0		83410	28328	176	0			0		0		0	0	13782	0	0	0	0	0	0	0	0	0			
18854		0	0	0		0	0	0		13769	8059	38		0	0	0		0		0	0	2696	0	0	0	0	0	0	0	0	0			
18957	0	0	0	0		0	0	0		30017	15643	79	0	0	0	0		0		0	0	10207	0	0	0	0	0	0	0	0	0	0		
19356	0	0	0	0		0	0	0		51818	15781	79	0	0	0	0		0		0	0	4845	0	0	0	0	0	0	0	0	0	0		
19730	216	0	0	547		0	0	0		742543	507003	1875	0	0	0	0		0		0	0	280536	0	0	0	0	0	0	0	0	0	0		
19936	0	0	0	0		0	0	0		70634	56466	232	0	0	0	0		0		0	0	63852	0	0	0	0	0	0	0	0	0	0		
19972	0	0	0	0		0	0	0		31888	6260	45	0	0	0	0		0		0	0	1591	0	0	0	0	0	0	0	0	0	0		
20053	0	0	0	0		0	0	3931		16578	8256	35	0	0	0	0		0		0	0	5187	0	0	0	0	0	0	0	0	0	0		
20147	0	0	0	0		0	0	0		34151	4195	29	0	0	0	0		0		0	0	5426	0	0	0	0	0	0	0	0	0	0		
20259	0	23	0	0		0	0	0		25245	17870	72	0	0	0	0		0		0	0	10670	0	0	0	0	0	0	0	0	0	0		
20370	0	0	0	0		0	0	0		54230	38123	119	0	0	0	0		0		0	0	27923	0	0	0	0	0	0	0	0	0	0		
20512	0	0	0	0		0	0	0		54040	14750	91	0	0	0	0		0		0	0	5650	0	0	0	0	0	0	0	0	0	0		
20633	0	0	0	0		0	0	0		134061	78640	450	0	0	0	0		0		0	0	33640	0	0	0	0	0	0	0	0	0	0		
20754	0	0	0	0		0	0	0		9043	1848	11	0	0	0	0		0		0	0	1525	0	0	0	0	0	0	0	0	0	0		
20839	0	0	0	0		0	0	0		60784	34968	195	0	0	0	0		0		0	0	15468	0	0	0	0	0	0	0	0	0	0		
20857	0	0	0	0		0	0	0		18663	45711	46	0	0	0	0		0		0	0	44988	0	0	0	0	0	0	0	0	0	0		
20866	132			0		0	0	0		69356	70225	353	0			0		0		0	0	33525	0	0	0	0	0	0	0	0	0			
21256	0			0		0	0	0		4789	2545	14	0			0		0		0	0	1442	0	0	0	0	0	0	0	0	0			
21359	0			0		0	0	0		10622	3761	26	0			0		0		0	0	1161	0	0	0	0	0	0	0	0	0			
21630	0	0	0	0		0	0	0		26034	26947	81	0	0	0	0		0		0	0	23040	0	0	0	0	0	0	0	0	0	0		
21658	0	0	0	0		0	0	0		83303	19618	102	0	0	0	0		0		0	0	15424	0	0	0	0	0	0	0	0	0	0		
22048	231	0	0	0		0	0	0		85642	81123	427	0	0	0	0		0		0	0	38223	0	0	0	0	0	0	0	0	0	0		
22235	0	0	0	130		0	0	0		190288	83001	523	0	0	0	0		0		0	0	30701	0	0	0	0	0	0	0	0	0	0		
22356	1	0	0	0		0	0	0		114542	77851	253	4	0	0	0		0		0	0	67852	0	0	0	0	0	0	0	0	0	0		
22459	0	0	0	0		0	0	0		60750	22214	93	0	0	0	0		0		0	0	12114	0	0	0	0	0	0	0	0	0	0		
22543	0	0	0	0		0	0	0		38484	22965	91	0	0	0	0		0		0	0	13865	0	0	0	0	0	0	0	0	0	0		
22552	0	0	0	0		0	0	0		26769	9404	48	0	0	0	0		0		0	0	4559	0	0	0	0	0	0	0	0	0	0		
22730	0	0	0	0		0	0	0		57063	22409	126	0	0	0	0		0		0	0	9809	0	0	0	0	0	0	0	0	0	0		
22936	0	0	0	0		0	0	0		85274	51234	262	0	0	0	0		0		0	0	38939	0	0	0	0	0	0	0	0	0	0		
22954	0	0	0	0		0	0	0		38119	13048	54	0	0	0	0		0		0	0	4751	0	0	0	0	0	0	0	0	0	0		
23036	0	0	0	0		0	0	0		141284	188939	519	0	0	0	0		0		0	0	150813	0	0	0	0	0	0	0	0	0	0		
23045	0	0	0	0		0	0	0		13552	15274	38	0	0	0	0		0		0	0	10619	0	0	0	0	0	0	0	0	0	0		
23241	0	0	0	29733		0	0	241657		1169257	682844	1941	0	0	0	0		0		0	0	1100598	0	0	0	0	0	0	0	0	0	0		
23456	0	0	0	0		0	0	0		48256	12115	61	0	0	0	0		0		0	0	12709	0	0	0	0	0	0	0	0	0	0		
23504	0	0	0	1345		0	0	6070		208006	311758	897	0	0	0	0		0		0	0	221868	0	0	0	0	0	0	0	0	0	0		
23540	0	0	0	0		0	0	0		85093	67725	187	0	0	0	0		0		0	0	49205	0	0	0	0	0	0	0	0	0	0		
23643	0	0	0	0		0	0	0		93479	55372	261	0	0	0	0		0		0	0	37132	0	0	0	0	0	0	0	0	0	0		
23755	0	0	0	0		0	0	0		54089	45745	167	0	0	0	0		0		0	0	25209	0	0	0	0	0	0	0	0	0	0		
23812	0	0	0	0		0	0	0		269380	424559	1067	0	0	0	0		0		0	0	106140	0	0	0	0	0	0	0	0	0	0		
24006	0	0	0	8818		0	0	5328		584467	241728	1328	0	0	0	0		3		0	0	115176	0	0	0	0	0	0	0	0	0	0		
24266	0	0	0	10774		0	0	17233		1135113	870550	3502	0	0	0	0		0		0	0	660007	0	0	0	0	0	0	0	0	0	0		
24453	0	11	1	0		0	0	0		18129	25317	62	0	1	0	0		0		0	0	19117	0	0	0	0	0	0	0	0	0	0		
24659	0	0	0	0		0	0	0		18621	5350	35	0	0	0	0		0		0	0	1850	0	0	0	0	0	0	0	0	0	0		
24668	0	0	0	0		0	0	0		83501	28967	201	0	0	0	0		0		0	0	20060	0	0	0	0	0	0	0	0	0	0		
24855	2	0	0	0		0	0	0		5384	1975	12	0	0	0	0		0		0	0	775	0	0	0	0	0	0	0	0	0	0		
24949	0	0	0	0		0	0	0		207049	141906	476	0	0	0	0		0		0	0	76373	0	0	0	0	0	0	0	0	0	0		
25357	0	0	0	0		0	0	0		30344	10489	60	0	0	0	0		0		0	0	4489	0	0	0	0	0	0	0	0	0	0		
25647	0	0	0	0		0	0	0		36107	36620	190	0	0	0	0		0		0	0	17620	0	0	0	0	0	0	0	0	0	0		
25852	0	0	0	6585		0	0	0		200465	105386	356	0	0	0	0		0		0	0	60491	0	0	0	0	0	0	0	0	0	0		
26149	0	0	0	0		0	0	0		29769	10198	65	0	0	0	0		0		0	0	3305	0	0	0	0	0	0	0	0	0	0		
26233	0	0	0	0		0	0	0		261364	142441	539	0	0	0	0		0		0	0	88540	0	0	0	0	0	0	0	0	0	0		
26242	0	0	0	0		0	0	0		201449	82142	375	0	0	0	0		0		0	0	21546	0	0	0	0	0	0	0	0	0	0		
26457	0	0	0	0		0	0	0		16185	6169	35	0	0	0	0		0		0	0	2669	0	0	0	0	0	0	0	0	0	0		
26756	0	0	0	0		0	0	0		9607	3831	21	0	0	0	0		0		0	0	105	0	0	0	0	0	0	0	0	0	0		
26765	0	0	0	0		0	0	0		19932	22369	60	0	0	0	0		0		0	0	21164	0	0	0	0	0	0	0	0	0	0		
26859	0	0	0	0		0	0	0		143679	110749	691	0	0	0	0		0		0	0	34153	0	0	0	0	0	0	0	0	0	0		
26916	0	0	0	0		0	0	0		179573	105151	455	0	0	0	0		0		0	0	64283	0	0	0	0	0	0	0	0	0	0		
27548	0	169	1	777		0	0	305		201615	105260	455	0	0	27	0		0		22	0	58809	0	0	0	0	0	0	0	0	0	0		
27614	0	0	0	0		0	0	0		147235	66414	259	0	0	0	0		0		0	0	71946	0	0	0	0	0	0						
