RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4011,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4320,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD8761,RIAD8762,RIAD8763,RIAD9106,RIADA220,RIADA251,RIADA517,RIADA518,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB490,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33,IDRSSD,RCON9999
375,332,0,14600,,1156,11,9,0,260,,658,0,0,0,4466,12438,1336,940,4490,12349,16904,15,6313,104,,76,497,0,1546,-7754,-7754,0,40,0,-7754,3002,9311,658,83,0,42,-494,0,,,,,,,,,0,0,0,2032,1403,true,110,761,,0,1578,,0,0,0,-64,895,0,0,0,1,58,0,0,0,0,,,,,,,,,,,,0,-7754,,,,,,,,,,,,,,172457,2009-12-31
256,682,0,7222,,1571,16,,0,82,,0,0,0,11,4090,4080,981,363,3281,7748,8170,30,3422,49,,2,156,0,1045,-3658,-3658,0,82,0,-3658,2025,3429,0,100,0,19,-71,113,,,,,,,,,0,0,,2452,1124,false,0,115,,0,883,,0,0,0,0,437,0,0,0,0,128,0,0,0,0,,,,,,,,,,,,0,-3658,,,,,,,,,,,,,,172747,2009-12-31
65,0,0,4646,,593,3,1786,0,1950,,99,0,0,0,1533,3683,576,229,732,2203,5216,1,1279,17,,1,189,0,182,1108,1667,559,0,0,1108,498,813,74,17,0,4,-24,0,,,,,,,,,0,0,,295,966,false,407,385,,253,210,,0,0,0,0,94,0,10,0,277,0,0,0,0,0,,,,,,,,,,,,0,1108,,,,,,,,,,,,,,172859,2009-12-31
110,193,0,10517,,884,0,,0,218,,572,0,0,0,2602,9717,2261,558,3018,9858,12319,19,5320,89,,41,507,0,1451,1556,1660,104,174,0,1556,6050,3228,451,103,34,2,0,720,,,,,,,,,0,0,,683,1158,false,0,137,,89,1120,,0,42,0,0,941,0,69,0,0,0,0,0,0,0,,,,,,,,,,,,0,1556,,,,,,,,,,,,,,173306,2009-12-31
50,370,0,2051,,524,1,,0,139,,401,0,0,0,982,2655,358,268,756,1707,3637,15,715,15,,0,54,0,236,1095,1551,456,12,0,1095,785,397,380,68,26,1,0,0,,,,,,,,,0,0,,329,481,false,0,206,,37,1131,,0,0,0,0,69,0,0,0,21,0,0,0,0,0,,,,,,,,,,,,0,1095,,,,,,,,,,,,,,173342,2009-12-31
49,50,0,2869,,798,1,320,0,320,,560,0,0,0,1807,2503,457,300,684,2170,4310,0,1264,19,,6,404,0,222,682,715,33,0,0,682,831,705,544,84,0,3,-40,0,,,,,,,,,0,0,,450,814,true,0,215,,145,732,,0,0,0,0,193,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,0,682,,,,,,,,,,,,,,173548,2009-12-31
904,0,0,14190,,717,33,0,0,73,,555,0,0,0,5230,10934,905,1755,3613,11044,16164,14,6123,111,,1,772,0,1308,-5630,-9139,-3509,37,0,-5630,2474,10575,555,27,0,14,-2082,15,,,,,,,,,0,0,0,861,2665,false,0,351,,1331,27,,0,0,0,15,911,0,0,0,3,86,202,0,0,0,,,,,,,,,,,,0,-5630,,,,,,,,,,,,,,173557,2009-12-31
1289,0,0,28515,,714,3,0,0,2,,236,0,0,0,10003,21452,1710,476,4851,14607,31455,13,8015,96,,0,2007,0,1741,4857,7555,2698,0,0,4857,20054,7377,0,177,0,50,0,0,,,,,,,,,0,0,0,2495,4035,false,0,368,,1463,1175,,0,8,0,0,1085,0,0,0,0,25,50,66,0,0,,,,,,,,,,,,0,4857,,,,,,,,,,,,,,173575,2009-12-31
804,13,0,5925,,775,2,,0,406,,1215,0,0,0,3448,5276,874,601,1643,4044,8724,0,1971,36,,0,36,0,430,1742,2045,303,159,0,1742,1384,2935,1215,301,0,23,0,0,,,,,,,,,0,0,,1071,1236,false,0,425,,1349,210,,0,0,0,0,247,0,0,0,26,0,0,0,0,0,,,,,,,,,,,,0,1742,,,,,,,,,,,,,,173641,2009-12-31
37,29,0,1685,,283,7,,0,46,,603,0,0,0,1810,3381,1092,628,1030,2194,5191,84,869,20,,0,85,0,295,2275,2275,0,46,0,2275,240,228,439,50,38,0,0,0,,,,,,,,,0,0,,920,718,true,0,888,,380,2432,,0,0,0,0,464,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,2275,,,,,,,,,,,,,,173959,2009-12-31
