"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	
956255																														0	10091	1911	1434	54689		89		693	315			8583	2859	12296	0	6765	127472	99	0			696	21649	5975	3342	27386	517	2385	5781	1587	6601	4526	28947	14691	31746	15728	9298	5190								270	267		
956358																														6066	0	502	0	5057		203		590	0			1745	0	6329	0	71	29491	0	0			0	8713	215	7090	20383	2234	5545	376	201	357	0	5710	6904	3649	3514	1000	0								0	0		
956376																														0	2147	0	0	3088		0		0	0			197	1864	2706	0	0	47588	39	0			0	37469	96	7212	1671	187	824	3078	3608	18604	11102	3917	2014	3111	1062	54	0								0	60		
956527																														0	2442	0	486	13326		273		0	0			46313	2501	1562	0	0	75963	0	0			0	7981	1079	78	7168	976	78	712	147	1662	4232	39481	4003	10391	10883	1129	569								0	0		
956554																														0	5562	0	0	17442		1		27	0			11286	312	2095	0	0	43134	0	0			0	5881	528	76	19020	545	1513	2722	851	250	0	14554	5939	12716	3897	147	0								0	0		
956611																														0	0	2422	0	1348		12		737	0			1192	0	3164	0	0	14170	0	0			0	2067	3195	160	2199	295	174	888	97	332	70	3392	809	3650	2059	1583	80								0	33		
956750																														0	8604	1081	699	8954		911		231	0			6457	0	5611	0	0	37686	2	0			0	5093	47	0	14825	348	590	2858	947	269	0	8640	5247	9213	8184	582	0								0	0		
956938																														0	10987	8724	3995	45934		265		3237	0			20243	3292	30359	0	139	179594	0	0			0	47865	1563	1506	50378	3663	3999	15394	19239	5261	0	35478	21750	28460	37148	8058	0								1006	1985		
956956																														0	11554	2824	0	11450		0		5123	502			9836	1096	10971	0	282	85523	0	0			0	29033	2511	5503	19521	508	2181	2637	1559	21373	454	9722	10338	11574	8829	13475	608								727	116		
957047																														0	280	7696	355	10786		0		5525	424			4771	0	2856	0	879	40056	0	0			0	6728	80	3113	22708	717	2691	888	1759	537	136	9778	9522	9362	2605	1196	368								100	0		
