"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	TEXT4087	
	MICR9999REPORT DATE	LEGAL NAME	CERTIFICATE NUMBER	CITY NAME	STATE ABBREVIATION	ZIP CODE	PRIMARY INTERNET WEB ADDRESS	
43744	20021231							
43856	20021231							
43959	20021231							
44040	20021231							
44134	20021231							
44433	20021231							
44451	20021231							
44602	20021231							
44741	20021231							
44750	20021231							
44929	20021231							
45038	20021231							
45047	20021231							
45056	20021231							
45270	20021231							
45430	20021231							
45458	20021231							
45551	20021231							
45560	20021231							
45627	20021231							
45775	20021231							
46053	20021231							
46941	20021231							
47153	20021231							
47247	20021231							
47256	20021231							
47377	20021231							
47452	20021231							
47500	20021231							
47658	20021231							
48057	20021231							
48150	20021231							
48374	20021231							
48440	20021231							
48552	20021231							
48673	20021231							
48730	20021231							
49054	20021231							
49148	20021231							
49241	20021231							
49344	20021231							
49362	20021231							
49540	20021231							
49643	20021231							
49652	20021231							
49821	20021231							
49858	20021231							
49951	20021231							
50144	20021231							
50461	20021231							
50546	20021231							
50854	20021231							
50957	20021231							
51253	20021231							
51347	20021231							
51356	20021231							
51459	20021231							
51730	20021231							
51842	20021231							
51972	20021231							
52410	20021231							
52456	20021231							
52719	20021231							
52951	20021231							
53015	20021231							
53033	20021231							
53051	20021231							
53239	20021231							
53453	20021231							
53752	20021231							
54049	20021231							
54058	20021231							
54124	20021231							
54357	20021231							
54375	20021231							
54441	20021231							
54656	20021231							
55019	20021231							
55176	20021231							
55251	20021231							
55336	20021231							
55635	20021231							
55653	20021231							
55916	20021231							
56230	20021231							
56258	20021231							
56351	20021231							
56427	20021231							
56548	20021231							
56557	20021231							
56717	20021231							
56726	20021231							
57040	20021231							
57134	20021231							
57228	20021231							
57255	20021231							
57451	20021231							
57572	20021231							
57956	20021231							
58074	20021231							
58207	20021231							
58225	20021231							
58243	20021231							
58355	20021231							
58551	20021231							
58636	20021231							
58757	20021231							
58971	20021231							
59259	20021231							
59316	20021231							
59352	20021231							
59679	20021231							
59754	20021231							
60143	20021231							
60219	20021231							
60330	20021231							
60433	20021231							
60545	20021231							
60554	20021231							
60648	20021231							
61001	20021231							
61122	20021231							
61355	20021231							
61476	20021231							
61533	20021231							
61757	20021231							
61832	20021231							
61953	20021231							
62044	20021231							
62101	20021231							
62147	20021231							
62651	20021231							
63050	20021231							
63069	20021231							
63078	20021231							
63201	20021231							
63359	20021231							
63573	20021231							
63733	20021231							
63742	20021231							
63751	20021231							
64150	20021231							
64253	20021231							
64543	20021231							
64552	20021231							
64619	20021231							
64646	20021231							
64730	20021231							
64758	20021231							
65205	20021231							
65241	20021231							
65513	20021231							
65559	20021231							
65746	20021231							
65858	20021231							
66015	20021231							
66154	20021231							
66172	20021231							
66275	20021231							
66350	20021231							
66837	20021231							
66846	20021231							
66903	20021231							
67142	20021231							
67151	20021231							
67209	20021231							
67254	20021231							
67311	20021231							
67414	20021231							
67777	20021231							
67852	20021231							
68345	20021231							
68448	20021231							
68569	20021231							
68756	20021231							
68831	20021231							
68840	20021231							
68859	20021231							
68943	20021231							
69333	20021231							
69351	20021231							
69650	20021231							
69678	20021231							
69847	20021231							
70049	20021231							
70058	20021231							
70076	20021231							
70151	20021231							
70218	20021231							
70254	20021231							
70414	20021231							
70638	20021231							
70955	20021231							
71318	20021231							
71457	20021231							
71671	20021231							
71859	20021231							
72258	20021231							
72351	20021231							
72418	20021231							
72454	20021231							
72614	20021231							
72678	20021231							
73031	20021231							
73116	20021231							
73152	20021231							
73554	20021231							
73956	20021231							
74056	20021231							
74140	20021231							
74159	20021231							
74337	20021231							
74403	20021231							
74449	20021231							
74458	20021231							
75053	20021231							
75259	20021231							
75446	20021231							
75455	20021231							
75558	20021231							
75576	20021231							
75633	20021231							
75651	20021231							
75857	20021231							
76050	20021231							
76135	20021231							
76153	20021231							
76201	20021231							
76443	20021231							
76742	20021231							
76854	20021231							
77150	20021231							
77253	20021231							
77347	20021231							
77374	20021231							
77422	20021231							
77758	20021231							
77851	20021231							
78036	20021231							
78054	20021231							
78157	20021231							
78241	20021231							
78559	20021231							
78643	20021231							
78858	20021231							
79042	20021231							
79127	20021231							
79145	20021231							
79257	20021231							
79855	20021231							
80020	20021231							
80150	20021231							
80431	20021231							
80552	20021231							
80936	20021231							
81054	20021231							
81429	20021231							
82024	20021231							
82033	20021231							
82257	20021231							
82350	20021231							
82659	20021231							
83151	20021231							
83236	20021231							
83311	20021231							
83357	20021231							
83450	20021231							
83638	20021231							
83834	20021231							
83852	20021231							
83955	20021231							
84046	20021231							
84055	20021231							
84251	20021231							
84345	20021231							
84541	20021231							
84804	20021231							
84970	20021231							
85043	20021231							
85052	20021231							
85258	20021231							
85454	20021231							
85856	20021231							
85931	20021231							
86349	20021231							
86358	20021231							
86527	20021231							
86554	20021231							
87047	20021231							
87159	20021231							
87234	20021231							
87476	20021231							
87533	20021231							
87944	20021231							
88240	20021231							
88259	20021231							
88352	20021231							
88455	20021231							
88530	20021231							
88950	20021231							
89032	20021231							
89135	20021231							
89162	20021231							
89452	20021231							
89751	20021231							
89854	20021231							
89957	20021231							
90047	20021231							
90159	20021231							
90234	20021231							
90328	20021231							
90337	20021231							
90403	20021231							
90467	20021231							
90627	20021231							
90645	20021231							
90739	20021231							
91129	20021231							
91147	20021231							
91156	20021231							
91259	20021231							
91615	20021231							
91651	20021231							
91754	20021231							
91866	20021231							
91950	20021231							
91969	20021231							
92050	20021231							
92144	20021231							
92162	20021231							
92630	20021231							
92706	20021231							
92854	20021231							
92902	20021231							
93039	20021231							
93244	20021231							
93329	20021231							
93413	20021231							
93543	20021231							
93619	20021231							
93628	20021231							
93721	20021231							
93758	20021231							
94139	20021231							
94447	20021231							
94456	20021231							
94522	20021231							
94661	20021231							
94755	20021231							
94858	20021231							
95051	20021231							
95659	20021231							
95725	20021231							
95855	20021231							
96254	20021231							
96357	20021231							
96553	20021231							
97037	20021231							
97055	20021231							
97279	20021231							
97457	20021231							
97804	20021231							
97943	20021231							
98351	20021231							
98454	20021231							
98463	20021231							
98548	20021231							
98557	20021231							
98641	20021231							
98717	20021231							
99004	20021231							
99059	20021231							
99143	20021231							
99255	20021231							
99442	20021231							
99536	20021231							
99853	20021231							
99974	20021231							
100160	20021231							
100236	20021231							
100357	20021231							
100553	20021231							
100562	20021231							
100843	20021231							
101019	20021231							
