RCFA2170,RCFA3128,RCFA3792,RCFA5310,RCFA5311,RCFA7204,RCFA7205,RCFA7206,RCFA8274,RCFAA223,RCFAA224,RCFAB530,RCFAB596,RCFAH015,RCFAH036,RCFAH311,RCFAH313,RCFAH314,RCFAJJ30,RCFAJJ31,RCFAJJ32,RCFAKW00,RCFAKW03,RCFAKX77,RCFAKX78,RCFAKX79,RCFAKX80,RCFAKX81,RCFAKX82,RCFAKX83,RCFALB58,RCFALB59,RCFALB60,RCFALB61,RCFAP742,RCFAP793,RCFAP839,RCFAP840,RCFAP841,RCFAP842,RCFAP843,RCFAP844,RCFAP846,RCFAP847,RCFAP848,RCFAP849,RCFAP850,RCFAP852,RCFAP857,RCFAP858,RCFAP859,RCFAP860,RCFAP861,RCFAP862,RCFAP863,RCFAP864,RCFAP865,RCFAP866,RCFAP867,RCFAP868,RCFAP870,RCFAP872,RCFAP875,RCFAQ258,RCFAS540,RCFW3792,RCFW5310,RCFW5311,RCFW7205,RCFW7206,RCFWA223,RCFWH312,RCFWP793,RCFWP851,RCFWP852,RCFWP853,RCFWP854,RCFWP855,RCFWP856,RCFWP857,RCFWP858,RCFWP859,RCFWP870,RCOA2170,RCOA3128,RCOA3792,RCOA5310,RCOA5311,RCOA7204,RCOA7205,RCOA7206,RCOA8274,RCOAA223,RCOAA224,RCOAB530,RCOAB596,RCOAH311,RCOAH313,RCOAH314,RCOAJJ29,RCOAJJ30,RCOAJJ31,RCOAJJ32,RCOAKW00,RCOAKX77,RCOAKX78,RCOAKX79,RCOAKX80,RCOAKX81,RCOAKX82,RCOAKX83,RCOALB58,RCOALB59,RCOALB60,RCOALB61,RCOALE74,RCOANC99,RCOAP742,RCOAP793,RCOAP838,RCOAP839,RCOAP840,RCOAP841,RCOAP842,RCOAP843,RCOAP844,RCOAP846,RCOAP847,RCOAP848,RCOAP849,RCOAP850,RCOAP852,RCOAP857,RCOAP858,RCOAP859,RCOAP860,RCOAP861,RCOAP862,RCOAP863,RCOAP864,RCOAP865,RCOAP866,RCOAP867,RCOAP868,RCOAP870,RCOAP872,RCOAP875,RCOAQ258,RCOAS540,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34404,1917,1917,15.8549%,22.4673%,21.2154%,32487,153129,204902,-19,0,14.4673%,,,,,,,,,,,,,,,,,,,,,9352,21.2154%,1,0,33721,1089,164,0,-19,0,0,0,,0,32487,0,0,32487,0,0,0,0,0,0,0,0,0,1917,0,1253,0,,5751,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31633,2558,2558,10.9333%,15.4803%,14.2285%,29075,204344,265930,-243,0,7.4803%,,,,,,,,,,,,,,,,,,,,,31037,14.2285%,1,0,28832,0,0,0,-243,0,0,0,,0,29075,0,0,29075,0,0,0,0,0,0,0,0,0,2558,0,0,0,,6039,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72035,7288,7288,9.5688%,12.4140%,11.1581%,64747,580270,676644,-136,0,4.4140%,,,,,,,,,,,,,,,,,,,,,25000,11.1581%,1,0,65658,0,0,1047,-136,0,0,0,,0,64747,0,0,64747,0,0,0,0,0,0,0,0,0,7288,0,1047,0,,6329,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75187,0,1122,8.4754%,22.8685%,22.5272%,74065,328780,873882,488,0,14.8685%,,,,,,,,,,,,,,,,,,,,,1052,22.5272%,1,0,74553,0,0,0,488,0,0,0,,0,74065,0,0,74065,0,0,0,0,0,0,0,0,0,1122,0,0,0,,7009,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21605,1102,1102,9.8196%,22.0012%,20.8790%,20503,98199,208797,-2292,0,14.0012%,,,,,,,,,,,,,,,,,,,,,2425,20.8790%,1,0,18211,0,0,0,-2292,0,0,0,,0,20503,0,0,20503,0,0,0,0,0,0,0,0,0,1102,0,0,0,,7045,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29741,1868,1868,8.9967%,14.0820%,13.1975%,27873,211199,309813,-336,0,6.0820%,,,,,,,,,,,,,,,,,,,,,4061,13.1975%,1,0,35066,3707,1051,2771,-395,0,59,0,,0,27873,0,0,27873,0,0,0,0,0,0,0,0,0,1868,0,7529,0,,7072,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8557,869,869,8.6165%,11.9158%,10.7057%,7688,71812,89224,-5,0,3.9158%,,,,,,,,,,,,,,,,,,,,,5500,10.7057%,1,0,7683,0,0,0,-5,0,0,0,,0,7688,0,0,7688,0,0,0,0,0,0,0,0,0,869,0,0,0,,7456,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9759,573,573,13.7031%,21.4942%,20.2321%,9186,45403,67036,-265,0,13.4942%,,,,,,,,,,,,,,,,,,,,,8260,20.2321%,1,0,8921,0,0,0,-265,0,0,0,,0,9186,0,0,9186,0,0,0,0,0,0,0,0,0,573,0,0,0,,7634,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35355,1248,1248,13.0726%,18.5795%,17.9237%,34107,190290,260904,-73,0,10.5795%,,,,,,,,,,,,,,,,,,,,,6000,17.9237%,1,0,34195,0,0,0,88,0,0,0,,0,34107,0,0,34107,0,0,0,0,0,0,0,0,0,1248,0,0,0,,8033,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22988,948,948,12.3476%,30.3809%,29.1280%,22040,75666,178496,-1528,0,22.3809%,,,,,,,,,,,,,,,,,,,,,700,29.1280%,1,0,20512,0,0,0,-1528,0,0,0,,0,22040,0,0,22040,0,0,0,0,0,0,0,0,0,948,0,0,0,,8462,2018-03-31
