RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,9072,0,,240,,0,33839,2015-03-31
,,,,,,,,,,,,,,,33857,2015-03-31
,,,,,,,,,52924,4986,,3880,,32295,34153,2015-03-31
,,,,,,,,,19944,0,,2099,,10393,34425,2015-03-31
,,,,,,,,,10734,3829,,2937,,1157,34434,2015-03-31
,,,,,,,,,,,,,,,34452,2015-03-31
,,,,,,,,,199929,27086,,31859,,134832,34537,2015-03-31
,,,,,,,,,,,,,,,34555,2015-03-31
,,,,,,,,,19763,0,,1621,,12666,34742,2015-03-31
,,,,,,,,,,,,,,,34836,2015-03-31
,,,,,,,,,20673,0,,1097,,15835,35057,2015-03-31
85632739,244033,,69867,28865298,,0,877937,55575604,56518582,65041,0,0,877937,55575604,35301,2015-03-31
,,,,,,,,,156350,68263,,30684,,39147,35570,2015-03-31
,,,,,,,,,,,,,,,35646,2015-03-31
,,,,,,,,,,,,,,,35842,2015-03-31
,,,,,,,,,,,,,,,35879,2015-03-31
,,,,,,,,,,,,,,,36456,2015-03-31
,,,,,,,,,,,,,,,36933,2015-03-31
,,,,,,,,,,,,,,,37051,2015-03-31
,,,,,,,,,,,,,,,37341,2015-03-31
,,,,,,,,,128620,1,,13969,,87490,37435,2015-03-31
,,,,,,,,,58860,0,,7364,,501,37640,2015-03-31
,,,,,,,,,,,,,,,37659,2015-03-31
,,,,,,,,,,,,,,,37743,2015-03-31
,,,,,,,,,,,,,,,37949,2015-03-31
,,,,,,,,,,,,,,,38740,2015-03-31
,,,,,,,,,60354,2187,,4032,,30778,39327,2015-03-31
,,,,,,,,,40220,7542,,9402,,269,39420,2015-03-31
,,,,,,,,,100650,41123,,27266,,22116,39475,2015-03-31
,,,,,,,,,133483,17399,,2717,,108720,39756,2015-03-31
,,,,,,,,,,,,,,,40033,2015-03-31
,,,,,,,,,,,,,,,40350,2015-03-31
,,,,,,,,,83594,5003,,6149,,72280,40499,2015-03-31
,,,,,,,,,,,,,,,40855,2015-03-31
,,,,,,,,,,,,,,,41245,2015-03-31
,,,,,,,,,,,,,,,41553,2015-03-31
,,,,,,,,,,,,,,,41629,2015-03-31
,,,,,,,,,,,,,,,41825,2015-03-31
,,,,,,,,,,,,,,,41937,2015-03-31
,,,,,,,,,,,,,,,41955,2015-03-31
,,,,,,,,,,,,,,,42037,2015-03-31
,,,,,,,,,,,,,,,42055,2015-03-31
,,,,,,,,,,,,,,,42354,2015-03-31
