RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2343,RCON2344,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON2604,RCON5590,RCON6648,RCON6810,RCON6835,RCONA241,RCONA242,RCONA243,RCONA244,RCONA579,RCONA580,RCONA581,RCONA582,RCONA584,RCONA585,RCONA586,RCONA587,RCONB549,RCONB550,RCONB551,RCONB552,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT88,RCONMT89,RCONMT90,RCONMT91,RCONMT92,RCONMT93,RCONMT94,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
3245,43,1930,7789,0,18343,0,0,0,0,0,0,32513,0,3055,10488,0,18577,203,2672,12610,5248,0,0,4707,7904,1112,4853,800,4448,126,5114,16370,29458,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359838,2002-12-31
9971,31,18099,16045,0,29479,0,0,0,0,0,0,124963,0,1993,8057,11236,49465,57470,7863,33760,5160,0,0,14431,20618,13243,1173,2388,2993,2190,486,10477,122908,872,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359847,2002-12-31
1938,83,83,3188,0,7882,0,0,0,0,0,0,8209,0,164,2940,0,3329,0,1050,3329,2940,0,0,1676,1653,0,0,1830,1110,0,0,7716,8045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359856,2002-12-31
1498,0,213,3196,0,6796,0,0,0,0,0,0,14310,0,2256,2719,2047,7725,2368,955,6616,2490,0,0,2252,4572,875,26,1591,1028,100,0,6583,12054,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359959,2002-12-31
2084,0,0,0,0,0,0,0,0,0,0,0,26415,0,0,2456,0,18294,3581,2205,16950,2239,0,0,7385,9565,1344,0,1201,1038,217,0,0,26415,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360777,2002-12-31
4480,0,4362,10680,0,21591,0,0,0,0,0,0,38248,0,5881,8534,8386,20172,5062,4337,12410,6770,0,0,8154,7461,3523,1034,4431,2571,1322,210,17222,32367,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360834,2002-12-31
4850,5,798,3300,0,8540,0,0,0,0,0,0,21719,0,746,1713,700,15156,0,2561,10972,1306,0,0,4286,6686,3292,892,493,813,407,0,7737,20973,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360843,2002-12-31
62696,552,12830,29819,0,40790,0,0,74049,0,74049,0,692048,3109,87867,142682,95293,298580,188090,34639,232199,117174,56050,0,67038,165219,50416,15907,60632,56542,19311,6197,27408,601072,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360852,2002-12-31
1098,6,438,1590,0,3516,0,0,0,0,0,0,11237,5,1234,3556,963,4933,1650,962,3464,3155,0,0,1200,2264,1320,149,1427,1728,401,0,3072,9998,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360955,2002-12-31
21340,55,16897,90913,0,185487,0,0,0,0,0,0,421954,0,61868,95848,75577,179014,125752,29297,134797,86632,0,0,46119,88678,37644,6573,66948,19684,6118,3098,167929,360086,606,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361055,2002-12-31
