"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4815	RIADB522	RIADC079	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	
2731876	721	158	0	0	684	121	
2732565	252	30	0	0	230	8	
2733263	2475	288	16	0	2171	0	
2733348	493	73	0	0	428	8	
2734729	1255	150	0	0	1105	0	
2735137	470	0	185	0	285	0	
2735173	417	41	0	0	379	3	
2735182	311	28	0	0	283	0	
2735191	111	19	0	0	92	0	
2735324	1383	193	32	0	1269	111	
2735762	116	45	0	0	95	24	
2735913	810	68	0	0	742	0	
2735959	179	45	2	0	160	28	
2736219	1293	715	157	0	967	546	
2736291	71210	19180	1996	0	63937	13903	
2736349	399	9	3	0	410	23	
2736442	64	4	0	0	60	0	
2736451	1603	341	2	0	1311	51	
2736714	441	97	0	0	344	0	
2736732	733	83	0	0	650	0	
2736929	627	211	0	0	416	0	
2737029	1090	290	0	0	800	0	
2737038	858	136	0	0	722	0	
2737551	2000	1794	0	0	1306	1100	
2737775	447	103	0	0	344	0	
2737841	210	54	0	0	204	48	
2737980	1210	250	12	14	934	0	
2738857	383	122	0	0	350	89	
2742153	629	5	0	0	624	0	
2742180	157	32	0	0	125	0	
2742210	228	27	0	0	201	0	
2742238	1074	150	0	0	950	26	
2742667	0	0	0	0	0	0	
2743244	1407	300	0	0	1112	5	
2743543	1373	708	19	0	1029	383	
2744063	2815	450	0	0	2365	0	
2744782	1050	150	0	0	915	15	
2745426	682	144	4	0	552	18	
2745565	2281	435	24	0	1836	14	
2745743	1591	222	0	0	1385	16	
2746227	276	83	0	0	193	0	
2746245	308	78	1	0	235	6	
2746263	348	81	0	0	277	10	
2746348	1460	155	2	0	1303	0	
2747242	518	138	0	0	380	0	
2747279	505	115	0	0	402	12	
2747420	741	210	0	0	571	40	
2747466	176	5	2	0	172	3	
2747587	475	231	0	0	314	70	
2747952	368	96	8	0	377	113	
2748436	1143	153	0	0	1005	15	
2748502	738	183	10	0	558	13	
2748650	1284	260	4	0	1028	8	
2749059	295	70	0	0	238	13	
2750448	167	45	0	0	122	0	
2750699	1002	190	2	0	831	21	
2751007	928	312	2	0	822	208	
2751388	592	234	2	0	407	51	
2751593	690	166	0	0	524	0	
2751977	654	150	0	0	507	3	
2753542	2404	621	0	0	1795	12	
2753588	314	97	0	0	228	11	
2753672	736	161	21	0	587	33	
2753917	0	0	0	0	0	0	
2754389	1044	117	0	186	741	0	
2755733	554	168	5	0	403	22	
2756730	122	22	0	0	100	0	
2756749	860	113	7	0	753	13	
2756767	444	30	0	0	424	10	
2756785	891	263	0	0	630	2	
2756909	635	155	0	0	480	0	
2757205	284	69	8	0	222	15	
2757586	0	0	0	0	0	0	
2757906	267	42	0	0	225	0	
2757951	0	0	0	0	0	0	
2758024	159	7	0	0	155	3	
2758613	1316	615	1	0	874	174	
2759629	230	60	3	0	205	38	
2760102	460	107	1	0	362	10	
2760232	302	18	0	0	284	0	
2761275	492	115	4	0	375	2	
2761912	1173	273	0	0	900	0	
2761930	250	66	0	0	184	0	
2761967	247	97	0	0	150	0	
2762638	478	96	0	0	387	5	
2764212	618	151	0	0	467	0	
2764258	915	120	0	0	795	0	
2765602	415	160	0	0	255	0	
2765611	1000	277	0	0	725	2	
2766092	444	132	0	0	327	15	
2767763	829	420	0	0	466	57	
2769039	451	84	0	0	370	3	
2769150	0	0	0	0	0	0	
2769383	834	188	0	0	646	0	
2769570	830	232	22	0	720	144	
2769589	515	125	0	0	390	0	
2769954	474	60	3	0	424	13	
2769972	249	32	0	0	222	5	
2771694	473	90	32	0	363	12	
2771797	353	95	0	0	258	0	
2772888	256	0	0	34	222	0	
2773867	441	97	0	0	344	0	
2774707	0	0	0	0	0	0	
2775151	602	173	0	0	460	31	
2775179	515	117	0	0	403	5	
2775692	108	31	0	0	78	1	
2776103	242	17	0	0	230	5	
2777070	374	67	0	0	321	14	
2777472	190	75	0	0	116	1	
2777548	575	275	0	0	300	0	
2777650	623	141	0	11	471	0	
2781152	728	130	11	0	600	13	
