RCONJJ04,RCONJJ05,RCONJJ06,RCONJJ07,RCONJJ08,RCONJJ09,RCONJJ11,RCONJJ12,RCONJJ13,RCONJJ14,RCONJJ15,RCONJJ16,RCONJJ17,RCONJJ18,RCONJJ19,RCONJJ20,RCONJJ21,RCONJJ23,RCONJJ24,RCONJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,19356,2001-03-31
,,,,,,,,,,,,,,,,,,,,19730,2001-03-31
,,,,,,,,,,,,,,,,,,,,19936,2001-03-31
,,,,,,,,,,,,,,,,,,,,19972,2001-03-31
,,,,,,,,,,,,,,,,,,,,20053,2001-03-31
,,,,,,,,,,,,,,,,,,,,20147,2001-03-31
,,,,,,,,,,,,,,,,,,,,20259,2001-03-31
,,,,,,,,,,,,,,,,,,,,20370,2001-03-31
,,,,,,,,,,,,,,,,,,,,20512,2001-03-31
,,,,,,,,,,,,,,,,,,,,20633,2001-03-31
,,,,,,,,,,,,,,,,,,,,20754,2001-03-31
,,,,,,,,,,,,,,,,,,,,20839,2001-03-31
,,,,,,,,,,,,,,,,,,,,20857,2001-03-31
,,,,,,,,,,,,,,,,,,,,20866,2001-03-31
,,,,,,,,,,,,,,,,,,,,21256,2001-03-31
,,,,,,,,,,,,,,,,,,,,21359,2001-03-31
,,,,,,,,,,,,,,,,,,,,21630,2001-03-31
,,,,,,,,,,,,,,,,,,,,21658,2001-03-31
,,,,,,,,,,,,,,,,,,,,22048,2001-03-31
,,,,,,,,,,,,,,,,,,,,22235,2001-03-31
,,,,,,,,,,,,,,,,,,,,22356,2001-03-31
,,,,,,,,,,,,,,,,,,,,22459,2001-03-31
,,,,,,,,,,,,,,,,,,,,22543,2001-03-31
,,,,,,,,,,,,,,,,,,,,22552,2001-03-31
,,,,,,,,,,,,,,,,,,,,22730,2001-03-31
,,,,,,,,,,,,,,,,,,,,22860,2001-03-31
,,,,,,,,,,,,,,,,,,,,22936,2001-03-31
,,,,,,,,,,,,,,,,,,,,22954,2001-03-31
,,,,,,,,,,,,,,,,,,,,23036,2001-03-31
,,,,,,,,,,,,,,,,,,,,23045,2001-03-31
,,,,,,,,,,,,,,,,,,,,23241,2001-03-31
,,,,,,,,,,,,,,,,,,,,23344,2001-03-31
,,,,,,,,,,,,,,,,,,,,23456,2001-03-31
,,,,,,,,,,,,,,,,,,,,23504,2001-03-31
,,,,,,,,,,,,,,,,,,,,23540,2001-03-31
,,,,,,,,,,,,,,,,,,,,23643,2001-03-31
,,,,,,,,,,,,,,,,,,,,23755,2001-03-31
,,,,,,,,,,,,,,,,,,,,23812,2001-03-31
,,,,,,,,,,,,,,,,,,,,24006,2001-03-31
,,,,,,,,,,,,,,,,,,,,24266,2001-03-31
,,,,,,,,,,,,,,,,,,,,24453,2001-03-31
,,,,,,,,,,,,,,,,,,,,24659,2001-03-31
,,,,,,,,,,,,,,,,,,,,24668,2001-03-31
,,,,,,,,,,,,,,,,,,,,24855,2001-03-31
,,,,,,,,,,,,,,,,,,,,24949,2001-03-31
,,,,,,,,,,,,,,,,,,,,25357,2001-03-31
,,,,,,,,,,,,,,,,,,,,25450,2001-03-31
,,,,,,,,,,,,,,,,,,,,25647,2001-03-31
,,,,,,,,,,,,,,,,,,,,25852,2001-03-31
,,,,,,,,,,,,,,,,,,,,26149,2001-03-31
,,,,,,,,,,,,,,,,,,,,26233,2001-03-31
,,,,,,,,,,,,,,,,,,,,26242,2001-03-31
,,,,,,,,,,,,,,,,,,,,26457,2001-03-31
,,,,,,,,,,,,,,,,,,,,26756,2001-03-31
,,,,,,,,,,,,,,,,,,,,26765,2001-03-31
,,,,,,,,,,,,,,,,,,,,26859,2001-03-31
,,,,,,,,,,,,,,,,,,,,26916,2001-03-31
,,,,,,,,,,,,,,,,,,,,27548,2001-03-31
,,,,,,,,,,,,,,,,,,,,27614,2001-03-31
,,,,,,,,,,,,,,,,,,,,27838,2001-03-31
,,,,,,,,,,,,,,,,,,,,27847,2001-03-31
,,,,,,,,,,,,,,,,,,,,28013,2001-03-31
,,,,,,,,,,,,,,,,,,,,28152,2001-03-31
,,,,,,,,,,,,,,,,,,,,28255,2001-03-31
,,,,,,,,,,,,,,,,,,,,28349,2001-03-31
,,,,,,,,,,,,,,,,,,,,28406,2001-03-31
,,,,,,,,,,,,,,,,,,,,28572,2001-03-31
,,,,,,,,,,,,,,,,,,,,28732,2001-03-31
,,,,,,,,,,,,,,,,,,,,29104,2001-03-31
,,,,,,,,,,,,,,,,,,,,29159,2001-03-31
,,,,,,,,,,,,,,,,,,,,29252,2001-03-31
,,,,,,,,,,,,,,,,,,,,29636,2001-03-31
,,,,,,,,,,,,,,,,,,,,29850,2001-03-31
