"IDRSSD"	RIADA491	RIADB904	RIADB905	RIADB906	RIADB907	RIADB909	RIADB910	RIADB911	RIADB912	RIADB947	RIADB948	RIADB949	RIADB950	RIADB951	RIADB952	RIADB953	RIADB954	RIADB955	RIADB956	RIADB957	RIADB958	RIADB959	RIADB960	RIADB961	RIADC058	RIADJ315	RIADJ316	
	NET TRUST INCOME (LOSS)	PERSONAL TRUST AND AGENCY ACCOUNTS	EMPLOYEE BENEFIT-DEFINED CONTRIBUTN	EMPLOYEE BENEFIT-DEFINED BENEFIT	OTHER RETIREMENT ACCOUNTS	CUSTODY AND SAFEKEEPING ACCOUNTS	OTH FIDUCIARY/RELATED SERVICES INCME	PLUS:INTRACMPNY INCM CRDTS FOR FIDUC	FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS	PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC	PRSNL TRST/AGCY ACCTS-GROSS LOSS NON	PERSONAL TRUST/AGCY ACCTS-RECOVERIES	RETIREMT RLTD TRST,ETC-GROSS LOSS MN	RETIREMT RLTD TRST,ETC-GROSS LOS NON	RETIREMT RELATED TRST,ETC-RECOVERIES	INVMT MNGEMT AGCY ACCTS-GROS LOS MNG	INVMT MNGEMT AGCY ACCTS-GROS LOS NON	INVTMT MNGEMT AGCY ACCTS-RECOVERIES	OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN	OTH FID ACCTS/RLTD SVCS-GROS LOS NON	OTH FIDU ACCTS/RLTD SVCS-RECOVERIES	TOT FIDU SETTLEMTS,ETC-GROS LOSS MN	TOT FIDU SETTLEMTS,ETC-GROS LOSS NON	TOT FIDU SETTLEMENTS,ETC-RECOVERIES	LESS: EXPENSES	FID REL SRVC INC INV MGMT ADVIS AGY 	FID REL SRVC INC FOUND ENDW TR AGY A	
153054																												
153353																												
154154																												
154257																												
154770																												
155245																												
155517																												
155759																												
155777																												
156457																												
156635																												
156877																												
156952																												
157155																												
157379																												
157650																												
157744																												
157838																												
157856																												
157904																												
158554																												
158741																												
158750																												
158947																												
158974																												
159636																												
159645																												
159953																												
160360																												
160454																												
160557																												
160614		10470	46	2260	1181	2804	0		5187																	10470	1238	
160650																												
160959																												
161031																												
161273																												
161433																												
161602		686	102	6	309	126	21																			523	23	
162337																												
163343																												
163370																												
163549																												
163857																												
164032																												
164153																												
164331																												
164377																												
164854																												
164957																												
164975																												
165039																												
165628		2244	211	100	325	41	37		0																	506	0	
165758																												
165806																												
166111																												
166531																												
166652																												
166803		135	12	1	70	31	8																			218	43	
166849																												
167060																												
167453																												
167556																												
167565																												
167752																												
167855																												
167864																												
168441																												
168571																												
168731																												
169073																												
169327																												
169354																												
169653		319	86	1	40	23	0																			316	0	
169756																												
169952																												
170051																												
170257																												
170332																												
170640																												
170716																												
170976																												
171133																												
171656																												
171759																												
171768																												
172158																												
172251																												
172457																												
172747																												
172859																												
173306																												
173342																												
173548																												
173557																												
173575																												
173641																												
173959																												
174321																												
174367																												
175056																												
175140																												
175458																												
175609																												
175672																												
176053																												
176101																												
176325																												
176437																												
176464																												
176642																												
177135																												
177443																												
177500																												
177546																												
177555																												
177751																												
177920																												
177957																												
178057																												
178150																												
178244																												
178271																												
178356																												
178851																												
179148																												
179335																												
179700																												
179755																												
180041																												
180078																												
180144																												
180443																												
180537																												
180845																												
181347																												
181459																												
181758																												
181963																												
182353																												
182652																												
182951																												
183042																												
183051																												
183154																												
183668																												
183770																												
183846																												
183958																												
184142																												
184245																												
184656																												
184759																												
185037																												
185251																												
185448																												
185457																												
185859																												
186221																												
186548																												
186717																												
186744		209	26	0	11	5	84																			13	13	
186838																												
186856																												
187358																												
187451																												
187648																												
187899																												
187947																												
188056																												
188430																												
188449																												
188720																												
188739																												
188757																												
188917																												
188926																												
189044		588	35	8	118	10	45																			100	36	
189129																												
189352																												
189549																												
189745																												
189820																												
189950																												
190246																												
190451																												
190554																												
190563																												
190639																												
190648																												
190947																												
190956																												
191355																												
191449																												
191935																												
192147																												
192156																												
192558		174	0	0	0	59	0																			73	19	
192651																												
192857																												
193162																												
193247																												
193461																												
193537																												
193649																												
193809																												
194253																												
194440																												
194936																												
195111																												
195157																												
195456																												
196257																												
196743																												
196752																												
196800																												
197142																												
197254																												
197302																												
197478																												
197759																												
198046																												
198103																												
198149																												
198251																												
198831																												
198859																												
198961																												
199052																												
199137																												
199351																												
199436																												
199454																												
199463																												
199940																												
200042																												
200435																												
200640																												
201049																												
201254																												
201441																												
201638																												
201647																												
201834																												
202251																												
202514																												
202541																												
202550																												
202907		216	21	46	45	32	4																			111	35	
203052																												
203418																												
203575																												
204004																												
204237																												
204826																												
205159																												
205243																												
205346																												
205458																												
205542																												
205654																												
206156																												
206174																												
206772																												
206950																												
207041																												
207050																												
207452																												
207555																												
207845		146	4	0	61	8	6																			0	10	
207872																												
207957																												
208057																												
208169	672	1342	11	1	42	129	1	147										4						4	1328	312	11	
208244																												
208347																												
208440																												
208459																												
208655																												
208972																												
209148																												
209335																												
209362																												
209447																												
209559																												
209830																												
209858																												
210238																												
210256																												
210434		39505	9800	38077	21393	122372	55612		113886																	63201	3049	
210452																												
210555																												
211114																												
211338																												
211851																												
211954																												
212018																												
212335																												
212344																												
212465		4140	426	2968	211	6224	618		0																	1408	0	
212522		231	61	11	0	31	15																			0	28	
213538																												
213912																												
213958																												
214414																												
214722																												
214807		10000	0	0	0	3000	23000		0																	16000	0	
214843																												
215130																												
215251																												
215345																												
215354																												
215653																												
215662																												
215710																												
216164																												
216230																												
216445																												
216632																												
216922																												
217059																												
217620																												
218131																												
218261																												
218757																												
218775																												
218850																												
218878																												
219044																												
219138																												
219259																												
219343		152	62	64	96	48	0																			193	39	
219651																												
219857																												
220059																												
220527																												
220545		305	27	17	131	0	4																			129	0	
220844																												
221476																												
222053																												
222147																												
222156																												
222446																												
222558																												
222754																												
223322																												
223331																												
223452																												
223751																												
223845																												
224178																												
224552																												
224637																												
224655																												
224954																												
225054																												
225157																												
225241																												
225250																												
225335																												
225559																												
225942																												
226659																												
226734																												
226752																												
226949																												
227151																												
227179																												
227357																												
227656																												
228000																												
228055																												
228158																												
228345																												
229342																												
229454																												
229801																												
229913																												
229940																												
229959																												
230254																												
230357																												
230423																												
230535																												
230610																												
230740																												
230759																												
231149																												
231242																												
231279																												
231336																												
232258																												
232847																												
232856																												
233031		19691	1679	1347	3292	596	5149		0																	7644	3143	
233246																												
233358																												
233442																												
233451																												
233527																												
233554																												
234056																												
234355																												
234506																												
234739																												
234841																												
235017																												
235231																												
235316																												
235446																												
235530																												
235558																												
235950																												
236050																												
236153																												
236256																												
236452																												
236603																												
236706		761	19	0	192	283	79																			960	0	
236751																												
236957																												
237066																												
