"IDRSSD"	RIAD3582	RIAD3583	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD3590	RIAD3591	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4658	RIAD4659	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD4668	RIAD4669	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	
	CHG-OFFS ON CONSTRCTN&LAND DEVLPMT	RECVRS ON CONSTRCTN&LAND DEVLPMT LNS	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFFS ON LNS SECD BY NONFARM NONR	RECVRS ON LNS SECD BY NONFARM NONRES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	CHRG-OFF LEASE FNC RCVBL US ADDR	CHRG-OFF LEASE FNC RCVBL NON US ADDR	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	RECOV ON LEASE FIN RECEIVABLE-US ADD	RCVRY LEASE FNC RCVBL NON US ADD	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	
708454	50	0	0	0	0	0	0	0	0	0	0	0	7	0			0	7	57	0	0	4						0						0			0	0	0	0			0	0	0	0	0	0	3	0	0	
708753	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	0	0	0	0	0	
709031	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	2	0	0	0						0						0			0	0	0	0			0	0	2	0	0	0	0	0	0	
709143	0	0	0	0	0	0	0	0	0	0	0	0	218	209		0	0	5	26	0	0	12		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	14	4	0	0	0	0	0	
709358	0	0	0	0	0	0	0	0	0	0	0	0	26	10			0	0	112	0	0	0						0						0			0	0	49	1			5	0	18	2	0	13	0	40	0	
709451	0	0	0	0	0	0	0	0	0	0	0	0	3	0			0	1	24	0	0	2						0						0			0	0	0	0			2	0	20	2	0	0	0	0	0	
709554	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	72	46	0	0						0						0			0	0	0	0			0	0	11	1	0	0	15	0	0	
709602	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	18	1	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	17	1	0	0	0	0	0	
709639	0	0	0	0	0	0	0	0	0	0	0	0	6	0			0	1	24	0	0	1						0						0			0	0	0	0			0	0	23	5	0	0	0	0	0	
709648	0	0	0	0	0	0	0	0	0	0	0	0	25	1			0	0	34	0	0	0						0						0			0	0	0	0			0	0	34	24	0	0	0	0	0	
709675	0	0	0	0	0	0	0	0	0	0	0	0	11	0			0	0	75	0	0	0						0						0			0	0	0	0			0	0	75	11	0	0	0	0	0	
709956	0	0	0	18	0	0	0	0	0	0	0	0	19	1			0	0	4	4	0	0						0						0			0	0	0	0			0	0	0	0	0	0	0	0	0	
710176	0	0	0	0	0	0	0	0	0	0	0	0	3	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	3	0	0	0	0	0	
710251	0	0	0	0	0	0	0	0	0	0	0	0	8	0			0	6	10	0	0	9						0						0			0	0	0	0			0	0	1	2	0	0	0	0	0	
710859	0	0	0	0	0	0	0	0	0	0	0	0	8	2			0	6	0	0	0	0						0						6			0	0	0	0			0	0	0	0	0	0	0	0	0	
711472	0	0	0	0	0	0	0	0	0	0	0	0	223	17	15	2	0	0	749	37	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	27	563	179	0	0	55	0	0	
711520	0	0	0	0	0	0	0	0	0	0	0	0	14	0			0	0	18	0	0	0															0	0	0	0			0	0	18	14	0	0	0	0	0	
711548	0	0	0	0	0	0	0	0	0	0	0	0	36	34			0	0	20	18	0	0															0	0	0	0			0	0	2	2	0	0	0	0	0	
711753	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	4	1	0	3						0						0			0	0	0	0			0	0	0	0	0	0	0	0	0	
711801	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	1	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	1	0	0	0	0	0	0	
711959	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	0	0	0	0	0	
712031	0	0	0	0	0	0	0	0	0	0	0	0	5	0		0	0	0	158	119	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			2	0	25	5	0	0	12	0	0	
712059	0	0	0	0	0	0	0	8	0	0	0	0	11	0			0	2	0	0	0	0						0						2			0	0	0	0			0	0	0	1	0	0	0	0	0	
712648	0	1	0	0	0	0	0	0	0	0	0	0	12	0			0	0	8	0	0	0						0						0			0	0	0	0			0	0	3	9	1	1	5	0	0	
712750	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	1	0	0	0						0						0			0	0	0	0			1	0	0	0	0	0	0	0	0	
712956	0	0	0	0	0	0	0	0	0	0	0	0	37	5			0	0	104	83	0	0						0						0			0	0	0	0			0	0	21	25	7	0	0	0	0	
713038	0	0	0	0	0	0	0	0	0	0	0	0	24	22			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	2	0	0	0	0	0	
713047	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	3	0	0	0						0						0			0	0	0	0			3	0	0	0	0	0	0	0	0	
713140	0	0	0	0	0	0	0	17	0	0	0	0	18	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	1	0	0	0	0	
713252	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	0	0	0	0	0	
713926	0	0	0	0	0	0	0	0	0	0	0	0	19	3		0	0	0	54	3	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			8	2	43	14	0	0	0	0	0	
714165	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	2	0	0	0						0						0			0	0	0	0			0	0	2	0	0	0	0	0	0	
714361	0	0	0	0	0	0	0	0	0	0	0	0	20	20			0	0	0	0	0	0															0	0	0	0			0	0	0	0	0	0	0	0	0	
714437	0	0	0	0	0	0	0	0	0	0	0	0	11	0			0	0	41	0	0	0						0						0			0	0	0	0			0	0	41	11	0	0	0	0	0	
714811	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
714839	0	0	0	0	0	0	0	0	0	0	0	0	6	0			0	4	16	0	0	11						0						0			0	0	0	0			5	1	0	1	0	0	0	0	0	
714978	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	0	0	0	0	0	
715032	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	1	0	0	0	0	0	
715144	0	0	0	0	0	0	0	0	0	0	0	0	16	5			0	0	42	0	0	0						0						0			0	0	0	0			0	0	21	10	1	0	0	21		
715340	0	0	0	0	0	0	0	9	0	0	0	0	28	2			0	0	3	0	0	0						0						0			0	0	0	0			0	0	3	16	1	0	0	0	0	
715630	0	0	0	0	0	0	0	0	0	0	0	0	20	4			0	0	70	0	0	0						0						0			0	0	0	0			0	0	22	16	0	0	48	0	0	
715751	0	0	0	0	0	0	0	0	0	0	0	0	4	1			0	0	2	0	0	0						0						0			0	0	0	0			0	0	2	3	0	0	0	0	0	
715809	38	0	100	0	0	0	100	38	0	0	0	0	144	60		0	0	0	1720	1286	0	85		0	0		0	85		0	0		0	0		0	0	0	0	0			0	0	108	38	8	0	3	0	0	
716413	0	790	0	0	0	0	85	0	87	0	0	0	2989	81		0	0	0	1915	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	2			280	100	1383	1897	119	0	80	0	0	
716655	0	0	0	0	0	0	0	0	0	0	0	0	5	0		0	0	0	31	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			7	0	24	4	1	0	0	0	0	
716833	0	0	0	0	0	0	0	0	0	0	0	0	140	62		0	0	37	1	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	1	21	0	20	0	0		
716851	0	0	0	0	0	0	0	0	0	0	0	0	3	0			0	3	10	0	0	10															0	0	0	0			0	0	0	0	0	0	0	0	0	
716954	0	0	0	0	0	0	0	0	0	0	0	0	8	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	8	0	0	0	0	0	
717232	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	11	3	0	0						0						0			0	0	0	0			0	0	8	0	0	0	0	0	0	
717513	0	0	0	0	0	0	0	0	0	0	0	0	18	13			0	0	54	8	0	0						0						0			0	0	0	0			12	1	30	4	0	0	4	0	0	
717737	0	0	0	0	0	0	0	0	0	0	0	0	6	0		0	0	4	22	0	0	19		0	0		0	0		0	0		0	0		0	0	0	0	0			1	0	2	1	1	0	0	0	0	
717867	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	5	0	0	0						0						0			0	0	0	0			0	0	5	1	0	0	0	0	0	
717924	0	0	0	0	0	0	86	7	0	0	0	0	25	3		0	0	0	134	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	38	14	1	0	10	0	0	
718079	0	0	0	0	0	0	0	0	0	0	0	0	4	0			0	0	23	0	0	0						0						0			0	0	0	0			0	0	23	4	0	0	0	0	0	
718145	3	0	0	0	0	0	0	0	0	0	0	0	174	2		0	0	0	214	20	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			2	0	124	144	26	2	0	65	0	
718275	0	0	0	0	0	0	0	0	0	0	0	0	53	5			0	0	34	0	0	0						0						0			0	0	0	0			0	0	34	48	0	0	0	0	0	
718538	0	0	0	0	0	0	0	0	0	0	0	0	19	0			0	1	53	0	0	10						0						0			0	0	0	0			0	0	43	18	0	0	0	0	0	
718547	0	0	0	0	0	0	0	9	0	0	0	0	32	10			0	0	13	0	0	0						0						0			0	0	0	0			0	0	13	10	3	0	0	0	0	
718556	0	0	0	0	0	0	0	0	0	0	0	0	5	0			0	0	22	22	0	0						0						0			0	0	0	0			0	0	0	5	0	0	0	0	0	
718930	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	3	0	0	0						0						0			0	0	0	0			0	0	3	0	1	0	0	0	0	
719030	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	2	0	0	0						0						0			0	0	0	0			0	0	2	1	0	0	0	0	0	
719441	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	1	0	0	0	0						0						0			0	1	0	0			0	0	0	1	0	0	0	0	0	
719610	0	0	0	0	0	0	0	50	0	0	0	0	71	0			0	4	41	0	0	7						0						0			0	0	0	0			0	0	21	17	0	0	13	0	0	
719656	0	0	0	0	0	0	0	0	0	0	0	0	13	1			0	0	62	0	0	4						4						0			0	0	41	0			0	0	17	12	0	0	0	0		
719955	0	0	0	0	0	0	42	0	0	0	0	0	2	0			0	0	42	0	0	0						0						0			0	0	0	0			0	0	0	2	0	0	0	0	0	
719964	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	28	8	0	11						11						0			0	0	0	0			0	0	9	1	0	0	0	0	0	
720045	0	0	0	0	0	0	0	0	0	0	0	0	24	24			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	0	0	0	0	0	0	
720157	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	0	0	0	0						0						0			0	0	0	0			0	0	0	1	0	0	0	0	0	
720166	0	0	0	0	0	0	0	0	0	0	0	0	9	2			0	4	9	6	0	0						0						4			0	0	0	0			0	1	3	2	0	0	0	0	0	
720344	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	3	0	0	0						0						0			0	0	0	0			0	0	3	0	0	0	0	0	0	
720465	0	0	0	0	0	0	0	0	0	0	0	0	25	25		0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	0	0	0	0	0	0	0	
