"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
863746															0	928	415	2892	10	387				0	0	1162	279	0				
863803															0	3810	2101	17719	0	8982	0	0	0	0	0	2826	5980	0				
863951															0	190	0	754	0	52	52	0	0	0	0	512	0	0	NONPOSTED DEBITS                                                                                                                                                                                 			
864127															0	87	93	698	0	141	36			0	0	377	0	0	VBA DEFFERED COMPENSATION                                                                                                                                                                        			
864248															0	7	0	634	1	2	0	0	0	0	0	625	0	0				
864341															0	115	0	266	38	38	0	0	0	0	0	113	0	0				
864752															0	1179	70	10802	0	7398	0	0	0	0	0	2155	5998	0				
864846															0	823	109	2338	116	176	60	0	0	0	0	1230	0	0	Income tax refund receivable                                                                                                                                                                     			
864855															0	235	0	1326	0	424	0	0	0	0	0	667	424	0				
864958															0	208	0	989	0	114	82	0	0	0	0	667	0	0	BAKKER & ZASKE SHARES DEEDED OVER                                                                                                                                                                			
865058															0	372	32	2471	53	94	41	0	0	0	0	1973	0	0	Purchased software                                                                                                                                                                               			
865142															0	233	0	2475	0	1095	0	0	0	0	0	1147	1095	0				
865151															0	456	64	1853	0	374	0	0	0	0	0	959	175	0				
865357															0	0	0	79	4	4	0	0	0	0	0	75	0	0				
865450															51	225	0	1135	18	69	0	0	0	0	0	841	0	0				
865544															0	636	5	2731	492	608				0	0	1482	0	0				
865674															0	1931	0	3139	643	676	0	0	0	0	0	532	0	0				
865759															0	1855	0	2927	60	279				0	0	793	219	0				
865852															0	51	35	810	0	393	0	0	0	0	0	331	388	0				
866000															0	7586	0	20046	4503	7187	0	0	0	0	0	5273	0	0				
866055															0	190	0	1237	0	730	655	0	0	0	0	317	0	0	Boston Capital                                                                                                                                                                                   			
866121															0	2420	0	8737	0	4996	0	0	0	0	0	1321	4716	0				
866251															0	0	0	303	10	10	0	0	0	0	0	293	0	0				
866279															0	20	120	1084	0	286				0	0	658	200	0				
866859															0	250	0	608	19	19				0	0	339	0	0				
866943															0	1208	0	3554	105	172	56	0	0	0	0	2174	0	0	ACCOUNTS RECEIVABLE                                                                                                                                                                              			
867258															0	330	0	1455	0	608	608	0	0	0	0	517	0	0	AIR SEC                                                                                                                                                                                          			
867454															0	134	0	371	0	26	0	0	0	0	0	211	0	0				
867632	0	1190	56	3055	319	543	0	0	0	0	0	1266	0	0		1190																
867650															0	597	176	1632	41	166	122	0	0	0	0	693	0	0	Premium Indirect Loans                                                                                                                                                                           			
867856															33	539	251	1440	72	217	112	0	0	0	0	433	0	0	Accounts receivable service release premium                                                                                                                                                      			
867940															0	99	0	962	0	385	0	0	0	0	0	478	338	0				
868059															0	2	92	938	0	17	0	0	0	0	0	827	0	0				
868068															0	0	0	3287	82	2969	774	0	0	0	0	318	2109	0	Interest Receivable U S Government                                                                                                                                                               			
868376															0	1323	2961	22399	0	12817				0	0	5298	11542	0				
868442															0	28	1	386	15	16	0	0	0	0	0	341	0	0				
868817															0	4303	2444	47704	1868	34301	0	0	0	0	0	6656	31375	0				
868844															0	0	31	873	10	652	31	0	0	0	0	190	611	0	IENC - Insurance Policies                                                                                                                                                                        			
868956															0	860	0	3040	98	193	0	0	0	0	0	1987	0	0				
869346															0	907	66	4733	0	2341	0	0	0	0	0	1419	2117	0				
869524															0	662	0	3247	513	1405	0	0	0	0	0	1180	0	0				
869551															0	563	0	2640	32	173	125	0	0	0	0	1904	0	0	VENTURE CAPITAL SHARES                                                                                                                                                                           			
869663															0	10894	0	14564	0	174	0	0	0	0	0	3496	65	0				
869953															76	43	0	1216	47	123	0	0	0	0	0	1050	0	0				
869971															0	195	0	2334	37	1287	31	0	0	0	0	852	1187	0	Software                                                                                                                                                                                         			
870258															0	17240	1242	43010	0	16743	15194	0	0	0	0	7785	0	0	Investment in BOLI                                                                                                                                                                               			
870472															149	2966	0	5269	258	422	0	0	0	0	0	1881	0	0				
870539															0	1913	329	16223	0	11058	9333	0	0	0	0	2923	443	0	Investable asset ESI                                                                                                                                                                             			
870650															237	878	1768	5537	404	1409	60	0	0	0	0	1482	707	0	MORTGAGE PMT RECEIVABLE                                                                                                                                                                          			
870678															0	724	12	2127	0	1126	522	542	0	0	0	265	0	0	CVLI CANADA                                                                                                                                                                                      	CVLI UNION CENTRAL                                                                                                                                                                               		
870753															0	105	0	839	0	104	71	0	0	0	0	630	0	0	ACCD FIT PAYABLE CURRENT                                                                                                                                                                         			
870847															0	0	0	1887	35	545	0	0	0	0	0	1342	403	0				
870856															0	59	23	1362	47	786	0	0	0	0	0	494	739	0				
870913															0	213	0	1004	72	617	0	0	0	0	0	174	530	0				
870968															0	85	264	1574	0	1022	851	119	0	0	0	203	46	0	CASH VALUE OF  PENSION LIFE INS                                                                                                                                                                  	CASH VALUE OF DIRECTOR'S DEF COMP                                                                                                                                                                		
871358															0	63	78	572	0	78				0	0	353	0	0				
871648															14	273	21	912	123	255	116	0	0	0	0	363	0	0	accounts receivable                                                                                                                                                                              			
871769															0	252	0	20895	1079	3370	0	0	0	0	0	17273	0	0				
871956															0	0	0	499	95	123	28	0	0	0	0	376	0	0	Unposted demand deposit debits                                                                                                                                                                   			
872047															0	900	0	2750	87	114	0	0	0	0	0	1736	0	0				
872159															0	15755	6385	166990	0	133251	128589	0	0	0	0	11599	0	0	Accounts Receivable                                                                                                                                                                              			
872421															0	673	837	4652	716	1970	0	0	0	0	0	1172	1213	0				
872551															0	640	0	3237	0	2170	0	0	0	0	0	427	1965	0				
872711															0	4136	0	82479	0	70634	59364	0	0	0	0	7709	0	11	Operating Leases                                                                                                                                                                                 			
872953															0	0	0	2033	33	34	0	0	0	0	0	1999	0	0				
873035															0	80	959	4243	430	668	0	0	0	0	0	2536	0	0				
873138	0	27698	8338	124975	0	59663	24108	0	0	0	0	29276	0	0		27698													Cash Items in Process                                                                                                                                                                            			
873259															0	158	0	609	37	125	0	0	0	0	0	326	88	0				
873334															0	720	0	4318	320	2956	0	0	0	0	0	642	2407	0				
873679															0	2360	0	2724	0	84	0	0	0	0	0	280	0	0				
873914															30	891	404	3284	546	600	0	0	0	0	0	1389	0	0				
873950															0	178	0	2239	0	1591	0	0	0	0	0	470	1560	0				
874041															0	783	0	2217	327	358	0	0	0	0	0	1076	0	0				
874050															0	1020	0	7513	87	3760	0	0	0	0	0	2733	3341	0				
