"IDRSSD"	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB528	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB613	RCONB614	RCONB616	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB645	RCONB646	RCONB647	RCONB648	RCONB649	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB674	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	
2409997	168253	231755	0	0	0	0	138536	0	0	0	0	0	0	0	0	0	966	4353	0	0	0	9677	0	0	-599	0	19322	13783	30759	0	28590	0	0	0	382	1784	383	0	0	389	62258	75889	0	0	0	0	0	10067	0	0	2162	0	-2035	75	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1354	0	0	0	1354	0	0	0	966	64875	77825	116365	0	12975	38913	116365	168253	
2412072	95292	120231	0	0	0	0	88218	0	0	0	0	0	0	0	0	0	746	14438	0	0	0	0	0	0	-1	199	5951	0	1503	0	9000	0	0	0	0	861	0	0	0	5004	6519	76695	0	0	0	0	0	1344	0	0	149	0	-1225	1486	0	0	0	1486	325	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3626	0	0	209	3417	0	0	0	945	34542	7589	84621	0	6908	3795	84621	95324	
2413510	34562	41695	0	0	0	0	29998	0	0	0	0	0	0	0	0	0	205	1730	0	0	0	42	0	0	26	399	4006	2030	0	0	2700	0	0	0	0	0	0	0	0	0	0	29998	0	0	0	0	0	1861	0	0	0	0	-448	0	0	0	0	0	0	0	0	0	0	34	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	8478	2030	31893	0	1696	1015	31893	34604	
2423023	11847	58113	0	0	0	0	0	0	0	2042	0	0	0	0	0	0	0	55784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4416	2042	1650	42	0	2042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1650	55826	0	682	0	11165	0	682	11847	
2428381	75564	88755	0	0	0	0	77221	0	0	0	0	0	0	0	0	0	1746	3569	0	0	0	0	0	0	11	0	3407	200	0	0	2629	0	0	0	0	0	0	0	2530	0	14112	60579	0	0	0	0	0	3534	0	134	450	0	-891	1706	0	0	0	1706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162	0	0	0	1162	0	0	0	4410	10055	14312	66397	0	2011	7156	66397	75564	
2433451	38389	48085	0	0	0	0	40491	0	0	723	0	0	0	0	0	0	0	1729	0	0	0	0	0	0	0	0	0	0	0	0	2381	0	0	0	0	216	0	0	0	0	15506	24985	0	0	0	0	0	2960	723	0	164	0	358	104	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2613	0	0	205	2408	0	0	0	0	4274	15927	29570	0	855	7964	29570	38389	
2434113	511454	850874	0	0	0	0	610965	0	0	10766	0	0	0	0	0	0	5126	19533	0	0	0	0	0	0	1360	30147	156173	9233	8102	0	0	0	0	0	0	0	0	0	0	28872	314120	267973	0	0	0	0	0	32172	10766	0	5668	0	3602	1465	0	0	0	1465	0	0	0	0	0	200	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16355	0	0	0	16355	0	0	0	35273	210246	323353	309833	0	42049	161677	309833	513559	
2435400	68374	95847	0	0	0	0	65249	0	0	0	0	0	0	0	0	0	2838	1594	0	0	0	0	0	0	-456	0	27421	0	1003	0	0	0	0	0	0	0	0	0	0	3484	16933	44832	0	0	0	0	0	4961	0	0	875	0	-1209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3311	0	0	0	3311	0	0	0	2838	33374	16933	53232	0	6675	8467	53232	68374	
2435615	139641	164719	0	0	0	0	126908	0	0	0	0	0	0	0	0	0	901	2462	0	0	0	0	0	0	365	0	17961	0	0	0	12750	0	0	0	0	0	0	0	0	0	13551	113357	0	0	0	0	0	9852	0	0	396	0	-1949	0	0	0	0	0	462	0	0	0	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3442	0	0	0	3442	0	0	0	901	33569	13551	126717	0	6714	6776	126717	140207	
2435660	140738	205803	0	0	0	0	150477	0	0	93	60	0	0	0	0	0	371	5321	0	0	0	0	0	0	-869	1086	24060	682	5009	0	0	0	0	0	18737	0	0	0	0	450	67052	82975	0	0	0	0	0	7098	271	0	1265	0	-1736	273	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	694	0	0	694	0	0	0	0	0	0	0	2738	0	0	0	2738	0	0	0	1457	49833	68428	96557	0	9967	34214	96557	140738	
