"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1350	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2800	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	FED. FUNDS SOLD & SECURITIES RS.	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	
776659										19440		22	0			0	0			0	0	
776734										1707		363	0			0	0			0	100	
776752										950		153	0			0	0			2000	0	
777012										19100		6244	0			28134	0			111738	0	
777160										6129		5	0			4000	0			0	324	
777254										850		161	0			0	0			1000	0	
777366	5001	80997	8996	3142	0	0	0	1991	0	19000	100127	2136	205	13345	471559	0	205	0	450965	5000	0	
777441										0		295	0			2302	0			383	0	
777553										3850		173	0			0	0			0	412	
777870										0		818	0			0	0			0	10	
777964										600		11	0			0	0			0	0	
778466										12430		1359	0			2010	0			20000	0	
778532										0		50	0			16057	0			0	0	
778738										0		8115	0			53162	0			54560	0	
779016										9675		621	0			1941	0			12541	300	
779351										16095		2037	0			44351	0			7034	0	
779360										5206		391	0			0	0			0	0	
779539										0		2666	0			6100	0			17480	0	
779641										4500		112	0			0	0			0	0	
779650										1627		246	0			0	0			0	0	
779968										0		465	0			0	0			9000	500	
780049										400		204	0			0	0			749	2263	
780218										3925		1414	0			0	0			20044	2	
780263										5350		50	0			0	0			0	0	
780562										4000		1416	0			15334	0			21521	0	
780722										7414		694	0			0	0			3195	1047	
780955										1582		0	0			0	0			0	154	
781028										7617		1345	0			0	0			8000	0	
781130										19343		810	0			17989	0			15000	487	
781158										870		175	0			595	0			0	0	
781466										0		19932	0			206000	0			360392	271	
782016										5175		442	0			0	0			1877	0	
782351										16900		29	0			0	0			0	0	
782548										2961		154	0			2000	0			0	0	
782650										335		347	0			0	0			4232	0	
782904										359500		4367	0			7480	0			0	354	
782940										52		193	0			414	0			0	0	
783059										3030		520	0			10177	0			590	15000	
783161										37420		861	0			0	0			3580	1050	
783246										0		348	0			613	0			5993	0	
783349										2914		0	0			0	0			0	0	
783648										0		4836	0			23563	0			78000	0	
783844										30421		914	0			0	0			12000	447	
783910										0		380	0			0	0			2828	0	
783956										2372		25	0			0	0			0	0	
783965										1700		60	0			0	0			0	0	
784159										5829		0	0			0	0			0	0	
784430										17595		128	0			4755	0			2900	0	
784944										2048		131	0			350	0			750	194	
785062										110400		10909	0			52685	0			109000	0	
785147										7265		1221	0			18818	0			19106	0	
785259										0		5082	0			43899	0			41069	0	
785325										208		0	0			0	0			0	0	
785718										375		720	0			0	0			616	0	
785857										4100		374	0			5343	0			321	0	
785923										19950		2772	0			0	0			12693	0	
785932										0		392	0			700	0			5000	0	
785950										298		743	0			0	0			7500	0	
786041										0		1404	0			872	0			14150	0	
786210										3270		2916	0			17436	0			52190	0	
786256										1280		68	0			0	0			0	0	
786340										3300		1116	0			0	0			6586	0	
786443										3292		97	0			0	0			400	0	
786555										0		648	0			488	0			5305	4	
786612										0		1970	0			8466	0			32764	0	
786733										14724		739	0			0	0			0	0	
786742										15640		488	0			9340	0			808	0	
786948										1543		290	0			0	0			1923	0	
787141										688		141	0			0	0			2638	0	
787150										9010		301	0			0	0			1000	0	
787253										1000		1328	0			2341	0			862	11000	
787440										3325		148	0			0	0			2733	0	
