RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
,,,,52951,2003-12-31
,,,,53015,2003-12-31
0,0,0.0000,0.0000,53033,2003-12-31
,,,,53051,2003-12-31
,,,,53239,2003-12-31
,,,,53453,2003-12-31
,,,,53752,2003-12-31
,,,,54049,2003-12-31
,,,,54058,2003-12-31
,,,,54357,2003-12-31
,,,,54375,2003-12-31
,,,,54441,2003-12-31
,,,,54656,2003-12-31
,,,,55176,2003-12-31
,,,,55251,2003-12-31
,,,,55336,2003-12-31
,,,,55635,2003-12-31
,,,,55653,2003-12-31
,,,,56230,2003-12-31
,,,,56258,2003-12-31
,,,,56351,2003-12-31
,,,,56427,2003-12-31
,,,,56548,2003-12-31
,,,,56557,2003-12-31
,,,,56717,2003-12-31
,,,,56726,2003-12-31
,,,,57040,2003-12-31
,,,,57134,2003-12-31
,,,,57228,2003-12-31
,,,,57255,2003-12-31
,,,,57451,2003-12-31
,,,,57572,2003-12-31
,,,,57956,2003-12-31
,,,,58074,2003-12-31
,,,,58207,2003-12-31
,,,,58225,2003-12-31
0,0,0,0,58243,2003-12-31
,,,,58355,2003-12-31
,,,,58551,2003-12-31
,,,,58636,2003-12-31
,,,,58757,2003-12-31
,,,,58971,2003-12-31
,,,,59259,2003-12-31
,,,,59316,2003-12-31
,,,,59352,2003-12-31
,,,,59679,2003-12-31
,,,,59754,2003-12-31
0,0,0.0000,0.0000,60143,2003-12-31
,,,,60219,2003-12-31
,,,,60330,2003-12-31
,,,,60433,2003-12-31
,,,,60545,2003-12-31
,,,,60554,2003-12-31
,,,,60648,2003-12-31
,,,,61001,2003-12-31
,,,,61122,2003-12-31
,,,,61355,2003-12-31
,,,,61476,2003-12-31
,,,,61533,2003-12-31
,,,,61757,2003-12-31
,,,,61832,2003-12-31
,,,,61953,2003-12-31
,,,,62044,2003-12-31
,,,,62101,2003-12-31
,,,,62147,2003-12-31
,,,,62651,2003-12-31
,,,,63050,2003-12-31
0,0,0.0000,0.0000,63069,2003-12-31
,,,,63078,2003-12-31
,,,,63201,2003-12-31
,,,,63359,2003-12-31
,,,,63573,2003-12-31
,,,,63733,2003-12-31
,,,,63742,2003-12-31
,,,,63751,2003-12-31
,,,,64150,2003-12-31
,,,,64253,2003-12-31
,,,,64543,2003-12-31
,,,,64552,2003-12-31
0,0,0.0000,0.0000,64619,2003-12-31
,,,,64646,2003-12-31
,,,,64730,2003-12-31
,,,,64758,2003-12-31
,,,,65205,2003-12-31
,,,,65241,2003-12-31
