RCFN2133,RCFN2898,IDRSSD,RCON9999
,,121914,2018-06-30
,,122153,2018-06-30
,,122546,2018-06-30
,,122854,2018-06-30
,,123075,2018-06-30
,,123374,2018-06-30
,,123646,2018-06-30
,,124344,2018-06-30
,,124830,2018-06-30
,,125154,2018-06-30
,,125471,2018-06-30
,,125855,2018-06-30
,,125873,2018-06-30
,,125958,2018-06-30
,,126012,2018-06-30
,,126049,2018-06-30
,,126375,2018-06-30
,,126553,2018-06-30
,,126740,2018-06-30
,,126834,2018-06-30
,,127055,2018-06-30
,,127224,2018-06-30
,,128258,2018-06-30
,,128904,2018-06-30
,,129349,2018-06-30
,,129358,2018-06-30
,,129479,2018-06-30
,,129732,2018-06-30
,,129853,2018-06-30
,,129910,2018-06-30
,,130345,2018-06-30
,,130541,2018-06-30
,,130813,2018-06-30
,,131034,2018-06-30
,,131155,2018-06-30
,,131173,2018-06-30
,,131418,2018-06-30
,,131436,2018-06-30
,,131650,2018-06-30
,,131717,2018-06-30
,,131940,2018-06-30
,,132107,2018-06-30
,,132152,2018-06-30
,,132451,2018-06-30
,,132554,2018-06-30
,,132778,2018-06-30
,,132938,2018-06-30
,,133579,2018-06-30
,,133850,2018-06-30
,,133971,2018-06-30
,,134156,2018-06-30
,,134437,2018-06-30
,,134455,2018-06-30
,,134848,2018-06-30
,,135836,2018-06-30
,,135854,2018-06-30
,,136048,2018-06-30
,,136338,2018-06-30
,,136459,2018-06-30
,,136655,2018-06-30
,,137205,2018-06-30
,,137447,2018-06-30
,,137456,2018-06-30
,,137559,2018-06-30
,,137643,2018-06-30
,,137652,2018-06-30
,,137915,2018-06-30
,,138051,2018-06-30
,,138257,2018-06-30
,,138556,2018-06-30
,,138725,2018-06-30
,,139133,2018-06-30
,,139478,2018-06-30
,,139553,2018-06-30
,,139656,2018-06-30
,,139740,2018-06-30
,,139834,2018-06-30
,,139843,2018-06-30
,,139955,2018-06-30
,,140018,2018-06-30
,,140157,2018-06-30
,,140362,2018-06-30
,,140634,2018-06-30
,,141211,2018-06-30
,,141341,2018-06-30
,,141350,2018-06-30
,,141556,2018-06-30
,,141677,2018-06-30
,,141958,2018-06-30
,,142049,2018-06-30
,,142179,2018-06-30
,,142571,2018-06-30
,,142656,2018-06-30
,,142955,2018-06-30
,,143372,2018-06-30
,,143662,2018-06-30
,,143859,2018-06-30
,,143952,2018-06-30
,,144034,2018-06-30
,,144052,2018-06-30
,,144155,2018-06-30
,,144436,2018-06-30
,,144678,2018-06-30
,,144856,2018-06-30
,,144913,2018-06-30
,,145059,2018-06-30
,,145545,2018-06-30
,,145554,2018-06-30
,,145741,2018-06-30
,,145750,2018-06-30
,,145844,2018-06-30
,,145956,2018-06-30
,,146056,2018-06-30
,,146663,2018-06-30
,,146672,2018-06-30
,,147633,2018-06-30
,,147651,2018-06-30
,,147679,2018-06-30
,,147857,2018-06-30
,,147923,2018-06-30
,,148171,2018-06-30
,,148238,2018-06-30
,,148340,2018-06-30
,,148470,2018-06-30
,,148715,2018-06-30
,,148809,2018-06-30
,,148920,2018-06-30
,,149150,2018-06-30
,,150035,2018-06-30
,,150044,2018-06-30
,,150156,2018-06-30
,,150727,2018-06-30
,,151546,2018-06-30
,,151555,2018-06-30
,,151957,2018-06-30
,,152057,2018-06-30
,,152253,2018-06-30
,,152431,2018-06-30
,,152440,2018-06-30
,,153054,2018-06-30
,,153353,2018-06-30
,,154154,2018-06-30
,,154770,2018-06-30
,,155759,2018-06-30
,,156457,2018-06-30
,,156635,2018-06-30
,,156952,2018-06-30
,,156970,2018-06-30
,,157155,2018-06-30
,,157379,2018-06-30
,,157650,2018-06-30
,,157744,2018-06-30
,,157856,2018-06-30
,,158376,2018-06-30
,,158741,2018-06-30
,,159636,2018-06-30
,,159645,2018-06-30
,,159953,2018-06-30
,,159971,2018-06-30
,,160360,2018-06-30
,,160454,2018-06-30
,,160650,2018-06-30
,,160959,2018-06-30
,,161273,2018-06-30
,,161602,2018-06-30
,,162337,2018-06-30
,,163343,2018-06-30
,,163370,2018-06-30
,,163549,2018-06-30
,,163857,2018-06-30
,,164153,2018-06-30
,,164331,2018-06-30
,,164377,2018-06-30
,,164854,2018-06-30
,,164957,2018-06-30
,,164975,2018-06-30
,,165039,2018-06-30
,,165628,2018-06-30
,,165758,2018-06-30
,,165806,2018-06-30
,,166111,2018-06-30
,,166531,2018-06-30
,,166652,2018-06-30
,,166849,2018-06-30
,,167060,2018-06-30
,,167453,2018-06-30
0,0,167565,2018-06-30
,,167752,2018-06-30
,,167864,2018-06-30
,,168357,2018-06-30
,,168571,2018-06-30
,,169327,2018-06-30
,,169354,2018-06-30
,,169653,2018-06-30
,,169756,2018-06-30
,,170257,2018-06-30
,,170275,2018-06-30
,,170332,2018-06-30
,,170640,2018-06-30
51082,1672,171133,2018-06-30
,,171656,2018-06-30
,,171759,2018-06-30
,,171768,2018-06-30
,,172158,2018-06-30
,,172251,2018-06-30
,,172457,2018-06-30
,,172475,2018-06-30
,,172859,2018-06-30
,,173306,2018-06-30
,,173342,2018-06-30
,,173548,2018-06-30
,,173557,2018-06-30
,,173575,2018-06-30
,,173641,2018-06-30
,,173959,2018-06-30
,,174321,2018-06-30
,,174367,2018-06-30
,,174572,2018-06-30
,,175056,2018-06-30
,,175140,2018-06-30
,,175458,2018-06-30
,,175609,2018-06-30
,,176053,2018-06-30
,,176101,2018-06-30
,,176325,2018-06-30
,,176437,2018-06-30
,,176464,2018-06-30
,,176642,2018-06-30
,,177135,2018-06-30
,,177443,2018-06-30
,,177500,2018-06-30
,,177555,2018-06-30
,,177751,2018-06-30
,,177920,2018-06-30
,,178057,2018-06-30
,,178150,2018-06-30
,,178244,2018-06-30
,,178356,2018-06-30
,,178851,2018-06-30
,,179148,2018-06-30
,,179335,2018-06-30
,,179700,2018-06-30
,,180144,2018-06-30
,,180443,2018-06-30
,,180537,2018-06-30
,,180845,2018-06-30
,,181963,2018-06-30
,,182353,2018-06-30
,,182951,2018-06-30
,,183668,2018-06-30
,,183770,2018-06-30
,,183846,2018-06-30
,,183958,2018-06-30
,,184142,2018-06-30
,,184656,2018-06-30
,,184759,2018-06-30
,,185251,2018-06-30
,,185448,2018-06-30
,,185859,2018-06-30
,,186221,2018-06-30
,,186548,2018-06-30
,,186717,2018-06-30
,,186744,2018-06-30
,,186856,2018-06-30
,,187648,2018-06-30
,,187899,2018-06-30
,,187947,2018-06-30
,,188056,2018-06-30
,,188177,2018-06-30
,,188430,2018-06-30
,,188449,2018-06-30
,,188720,2018-06-30
,,188739,2018-06-30
,,188917,2018-06-30
,,188926,2018-06-30
,,189044,2018-06-30
,,189129,2018-06-30
,,189549,2018-06-30
,,189745,2018-06-30
,,189950,2018-06-30
,,190451,2018-06-30
,,190563,2018-06-30
,,190648,2018-06-30
,,190947,2018-06-30
,,190956,2018-06-30
,,191355,2018-06-30
,,191449,2018-06-30
,,191935,2018-06-30
,,192147,2018-06-30
,,192558,2018-06-30
,,192651,2018-06-30
,,192857,2018-06-30
,,193162,2018-06-30
,,193247,2018-06-30
,,193537,2018-06-30
,,193649,2018-06-30
,,193809,2018-06-30
,,194440,2018-06-30
,,194570,2018-06-30
,,194936,2018-06-30
,,195111,2018-06-30
,,195157,2018-06-30
,,195456,2018-06-30
,,196743,2018-06-30
,,196752,2018-06-30
,,196800,2018-06-30
,,197142,2018-06-30
,,197254,2018-06-30
,,197302,2018-06-30
,,197478,2018-06-30
,,197759,2018-06-30
,,198046,2018-06-30
,,198073,2018-06-30
,,198149,2018-06-30
,,198251,2018-06-30
,,198961,2018-06-30
,,199052,2018-06-30
,,199137,2018-06-30
,,199351,2018-06-30
,,199436,2018-06-30
,,199463,2018-06-30
,,200042,2018-06-30
,,200378,2018-06-30
,,200435,2018-06-30
,,200640,2018-06-30
,,201254,2018-06-30
,,201647,2018-06-30
,,201834,2018-06-30
,,202514,2018-06-30
,,202541,2018-06-30
,,202907,2018-06-30
,,203043,2018-06-30
,,203052,2018-06-30
,,203070,2018-06-30
,,203418,2018-06-30
,,203575,2018-06-30
,,204004,2018-06-30
,,204077,2018-06-30
,,204237,2018-06-30
,,204826,2018-06-30
,,205243,2018-06-30
,,205346,2018-06-30
,,205458,2018-06-30
,,205542,2018-06-30
,,205654,2018-06-30
,,206156,2018-06-30
,,206174,2018-06-30
,,206473,2018-06-30
,,206772,2018-06-30
,,206950,2018-06-30
,,207041,2018-06-30
,,207050,2018-06-30
,,207452,2018-06-30
,,207470,2018-06-30
,,207555,2018-06-30
,,207845,2018-06-30
,,207872,2018-06-30
