RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999,RCON8678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666,7143,0,6070,152144,159934,0,0,21003,1250,180937,0,0,6008,0,0,13250,0,43716,108428,,0,108936,107238,495,6400,0,0,5073,21003,,,12142,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,2012,0,1406,97453,105049,0,0,13770,1419,118819,0,0,8148,0,0,3581,0,15820,81633,,0,79580,78186,622,2698,0,0,0,13770,,,12245,2011-09-30,
1626822,707885,338772,0,534768,,,50131243,597540,1487461,4031232,39999,54760015,-1514786,351559,0,5586521,334607,,0,38857291,37857137,-80502,0,2196405,4628772,,,0,968820,,,,,43047635,,,,,,,332554,265928,,,,,,3304324,39743311,,,,,,0,0,5100,2196405,,,,12311,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,14879,0,4035,88216,91156,0,0,9967,125,101123,0,0,2013,0,0,7829,465,10755,77461,,0,73819,73079,0,0,0,0,0,9967,,,12647,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,408,0,165,15146,15195,0,0,1416,72,16611,0,0,956,0,0,388,0,2863,12283,,0,12675,12404,0,2230,0,0,0,1416,,,12656,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39741,2441,0,11366,179658,186328,0,0,32662,750,218990,0,0,26562,0,0,5250,403,33360,146298,,0,161880,160212,100,2000,0,0,0,32662,,,12937,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199,8590,33,11891,623021,642007,0,0,74658,1,716665,0,0,56106,1161,0,17119,0,64736,558285,,0,509693,499593,1432,4045,0,0,0,74658,,,12946,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8849,2258,0,2874,100925,105329,0,0,12097,1567,117426,0,0,2297,0,0,8233,5969,21268,79656,,0,94222,93151,0,0,0,0,0,12097,,,12955,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18879,15777,0,17076,984600,1116484,1523,0,174495,500,1292502,0,0,139734,0,0,34019,202,35444,949156,,0,933643,923941,242,351,0,0,0,176018,,,13103,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10446,2314,0,54,36081,36171,0,0,4101,25,40272,0,0,2240,0,0,1725,0,4453,31629,,0,19104,18511,111,2621,0,0,0,4101,,,13251,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,382,0,9,14502,14650,0,0,6046,50,20696,0,0,5762,0,0,152,0,2209,12293,,0,13318,13182,82,370,0,0,0,6046,,,13457,2011-09-30,
