RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1656,0,375,44485,44603,0,0,4580,400,49183,0,0,999,,0,2900,0,9767,34718,1,1231,0,29771,29420,281,2458,0,0,0,4580,,,7456,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215,4523,0,693,72633,77863,0,0,7173,200,85036,0,0,1737,,0,5200,0,6991,65642,2,1231,0,69023,68210,36,0,0,0,0,7173,,,7634,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873,1552,0,3027,84202,108549,0,0,12416,774,120965,0,0,7198,,0,4476,0,18899,65303,1,1231,0,98933,98083,-32,6300,0,0,0,12416,,,8033,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2523,13199,0,392,112874,113163,0,0,13990,350,127153,0,0,11928,,0,350,0,29150,83724,4,1231,0,30381,29953,1362,16150,0,0,0,13990,,,8462,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,3780,0,1623,47862,48189,0,0,6446,500,54635,0,0,5127,,0,800,0,15599,32263,1,1231,0,33859,33466,19,0,0,0,0,6446,,,8631,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3208,9214,0,1080,283348,329496,0,0,56690,500,386186,0,0,4179,,0,51847,135174,82822,200526,1,1231,0,186632,180748,164,0,0,0,6138,56690,,,9357,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6376,992,0,415,68356,72958,0,0,8038,400,80996,0,0,6428,,0,1200,0,9412,58944,4,1231,0,63959,63217,10,1300,0,0,0,8038,,,9553,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220354,16707,14,10170,2125756,2505136,1500,0,155393,20000,2662029,0,0,131203,,0,63858,0,81953,2043803,1,1231,0,1900488,1833664,-59668,15000,0,0,63134,156893,,,9807,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20968,2186,0,1837,76083,79186,0,0,11183,110,90369,0,0,7731,,0,3023,0,12230,63853,4,1231,0,47447,46875,319,0,0,0,0,11183,,,9955,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1686,0,578,49361,49578,0,0,4628,250,54206,0,0,1788,,0,2560,0,12025,37336,4,1231,-51,26977,25985,81,6920,0,0,0,4628,,,10157,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971,7569,0,12695,398117,440069,0,0,38778,1500,478847,0,0,12627,,0,23000,0,39980,358137,4,1231,0,371037,367177,1651,7151,0,0,0,38778,,,10250,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3221,2989,0,4592,274519,299570,0,0,29767,16,329337,0,0,19004,,0,10745,0,23131,251389,1,1231,0,245154,241162,2,0,0,0,0,29767,,,10849,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8525,7624,0,6651,354562,399153,0,0,38718,2500,437871,0,0,21319,,0,14755,2762,44305,310257,2,1231,0,363597,356965,144,0,0,0,19503,38718,,,10858,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8922,2807,75,4949,138410,151001,0,0,16280,1000,167281,0,0,11156,,0,4000,160,14975,123435,7,1231,0,127289,125665,124,3500,0,0,0,16280,,,11145,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,9811,0,6118,226706,264324,0,0,25745,650,290069,0,0,8244,,0,16800,0,46427,180279,1,1231,0,186283,184699,51,0,0,5225,0,25745,,,11640,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4496,0,1041,82316,89768,0,0,10862,314,100630,0,0,58,,0,10686,0,5067,77249,2,1231,0,53833,52517,-196,0,0,0,0,10862,,,11837,2009-03-31
