RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2208,0,2025,68611,69418,0,0,7298,469,76716,0,0,2969,,0,3750,0,8398,60213,,,0,58720,57932,110,,,,,,,,6039,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,373,0,245,12161,13761,0,0,1256,25,15017,0,0,1082,,0,100,0,701,11460,,,0,10640,10526,49,,,,,,,,6057,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2018,0,341,28584,28877,0,0,3260,400,32137,0,0,360,,0,2500,0,5298,23286,,,0,13351,12913,0,,,,,,,,6141,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,6381,0,6457,184993,186477,0,0,17843,2600,204320,0,0,6699,,0,7700,0,36824,148169,,,0,134180,132348,844,,,,,,,,6329,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1353,0,886,20534,21058,0,0,2062,150,23120,0,0,413,,0,1462,0,3258,17276,,,0,15816,15686,37,,,,,,,,6842,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35317,342,7469,536700,543358,0,0,91476,2600,634834,0,0,64845,,0,22400,841,108401,428299,,,0,290130,286392,1631,,,,,,,,6972,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,53210,0,651,494471,502573,0,0,84660,500,587233,0,0,82600,,0,516,0,34652,459819,,,0,282433,282433,1044,,,,,,,,7009,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3363,0,946,86126,86613,0,0,9204,100,95817,0,0,6728,,0,2100,0,10208,75918,,,0,44335,43619,276,,,,,,,,7045,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1334,0,185,26065,27074,0,0,3473,200,30547,0,0,2897,,0,200,0,3301,22764,,,0,18267,18122,176,,,,,,,,7157,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1841,18032,0,7109,381544,383395,0,0,30408,5220,413803,0,0,18952,,0,6352,4428,93846,287698,,,0,291292,287781,-116,,,,,,,,7166,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1355,0,251,36558,36881,0,0,4978,400,41859,0,0,1664,,0,2400,0,4702,31856,,,0,17011,16583,514,,,,,,,,7456,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1740,0,180,32156,32374,0,0,4987,200,37361,0,0,1913,,0,2800,0,5521,26635,,,0,24558,24074,74,,,,,,,,7634,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,1436,0,579,38627,41085,0,0,6725,774,47810,0,0,2683,,0,3226,0,7873,30754,,,0,40037,39420,42,,,,,,,,8033,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,555,58,511,32980,33393,0,0,3541,134,36934,0,0,706,,0,2664,77,2460,30520,,,0,30122,29624,37,,,,,,,,8154,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,297128,0,17587,2450819,2533444,0,0,160692,800,2694136,0,0,114729,,0,45157,0,1403420,1047399,,,0,147723,147529,6,,,,,,,,8417,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3420,0,466,55339,56011,0,0,7210,350,63221,0,0,6034,,0,350,0,8684,46655,,,0,28458,28110,476,,,,,,,,8462,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4632,0,699,92683,103680,0,0,9268,350,112948,0,0,3602,,0,5220,0,7594,85089,,,0,86721,85546,96,,,,,,,,8547,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,1054,0,1055,39726,39876,0,0,6396,500,46272,0,0,4967,,0,800,0,5015,34711,,,0,28854,28602,129,,,,,,,,8631,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40561,0,51000,1406115,1414431,0,0,94253,2500,1508684,0,0,55368,,0,30222,0,125986,1280129,,,0,552205,544936,6163,,,,,,,,9115,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26191,6038,0,1734,123585,132363,0,0,10101,4501,142464,0,0,5600,,0,0,0,22815,100770,,,0,83331,82181,0,,,,,,,,9160,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2363,6455,0,6185,223383,270123,0,0,25145,1418,295268,0,0,9185,,0,13700,0,18941,204442,,,0,223564,220480,842,,,,,,,,9339,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,18813,0,583,211723,280316,0,0,24278,500,304594,0,0,7576,,0,15500,148166,82288,129435,,,0,104997,102520,702,,,,,,,,9357,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,519,0,303,43543,46450,0,0,5789,400,52239,0,0,4023,,0,1200,0,3752,39791,,,0,43830,43401,166,,,,,,,,9553,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,25441,0,7854,1335901,1505160,0,0,158177,20000,1663337,0,0,72352,,0,63858,0,28662,1307239,,,0,1194963,1163142,1967,,,,,,,,9807,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2980,3220,0,1323,74872,76773,0,0,8659,110,85432,0,0,4766,,0,3023,0,6964,67908,,,0,47382,46894,760,,,,,,,,9955,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1594,0,1227,60492,67753,0,0,6508,250,74261,0,0,3462,,0,2560,0,8364,52128,,,0,42521,41947,236,,,,,,,,10157,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8660,0,5783,195831,197071,0,0,16985,1500,214056,0,0,3033,,0,12000,0,27633,168198,,,0,160469,158967,452,,,,,,,,10250,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1991,0,502,47244,48185,0,0,4841,245,53026,0,0,1243,,0,2943,0,9120,38124,,,0,30536,30179,410,,,,,,,,10577,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12795,2731,0,4207,138820,146427,0,0,13719,16,160146,0,0,7553,,0,6006,0,15843,122977,,,0,107763,106330,144,,,,,,,,10849,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11727,0,2197,269568,285899,0,0,26012,2500,311911,0,0,11723,,0,11755,1348,28172,241396,,,0,245619,241778,34,,,,,,,,10858,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5350,0,5031,93665,104576,0,0,9574,1000,114150,0,0,4389,,0,4000,0,11936,81729,,,0,86120,85284,185,,,,,,,,11145,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290,1817,0,261,37559,38205,0,0,6539,400,44744,0,0,-2274,,0,8155,0,4565,32994,,,0,23764,23383,258,,,,,,,,11350,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6982,0,2112,123830,144448,0,0,18443,650,162891,0,0,2110,,0,15200,0,26065,97765,,,0,102121,100952,483,,,,,,,,11640,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,967,0,1122,54024,60429,0,0,7222,314,67651,0,0,741,,0,5686,0,4031,49993,,,0,41441,40259,481,,,,,,,,11837,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,5553,0,3788,162768,166600,0,0,15895,300,182495,0,0,15242,,0,300,0,13437,149331,,,0,158251,154067,53,,,,,,,,12030,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2888,0,2007,92414,95931,0,0,8841,200,104772,0,0,6835,,0,1650,682,7769,84645,,,0,72720,72165,156,,,,,,,,12058,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,7263,0,4507,146211,149416,0,0,20394,1250,169810,0,0,4716,,0,13250,0,25696,120515,,,0,69943,68890,1178,,,,,,,,12142,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1926,0,1431,71953,76340,0,0,10061,1419,86401,0,0,4348,,0,3581,0,13916,58037,,,0,51878,51190,713,,,,,,,,12245,2001-09-30
1322,1083285,110276,5487,440135,16382,16382,25605757,415198,962749,2146068,40000,28167023,1618131,,0,451268,294077,,0,21486430,21127713,36669,,,,,,0,470857,,,,,19790709,25605757,,,,,,,,,,,,,3624389,16166320,,,,,,,,,,,,,,12311,2001-09-30
