RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
4375,2,5,10199,0,12645,0,0,0,0,69751,0,667,,41176,17801,5404,12638,69084,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5274,2003-03-31
24716,24,665,39512,0,60757,0,0,0,0,129676,0,0,,30962,63771,7692,60068,129676,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5331,2003-03-31
31007,114,315,86146,0,125145,0,0,0,0,135750,0,5770,,22054,51709,8251,124700,129980,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5461,2003-03-31
4855,12,1488,5214,0,14354,0,0,0,0,58251,0,19643,,13283,31089,4561,12854,38608,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5751,2003-03-31
190071,5,1059,195880,0,408530,0,0,0,0,1757669,0,4882,,913749,396912,138326,407466,1752787,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5939,2003-03-31
5929,0,3787,7184,0,16493,0,0,0,0,52464,0,3303,,27943,3963,9258,12706,49055,0,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6039,2003-03-31
717,0,333,1106,0,2937,0,0,0,0,9972,0,2314,,7803,320,411,2604,7658,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6057,2003-03-31
1673,7,643,6777,0,13214,0,0,0,0,14300,0,1552,,6944,825,1086,12564,12748,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6141,2003-03-31
10732,4,11705,40729,0,71438,0,0,0,0,124979,4,18398,,48295,15032,10904,59729,106577,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6329,2003-03-31
62310,112,14164,125484,0,178572,0,0,0,0,379710,0,4477,,111476,172735,38065,163279,375233,1017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6972,2003-03-31
0,26,4,17120,0,17120,0,0,0,0,331262,0,0,,0,331262,290,17090,331262,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7009,2003-03-31
9856,2,5720,11955,0,32820,0,0,0,0,48068,0,9594,,24110,7990,4350,27098,38474,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7045,2003-03-31
