"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCON1288	RCON1420	RCON1460	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	
981453																																													0	4266	0		0		2417	0			2317	0	960	0	0	12878	0	0	0	1830	83	0	4104	43	105	731	780	172	0	1667	2757	1503	4591	474	56								0	14			0	0	334	108	0	549			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
982142																																													0	6501	7	0	1664	1664	2800	0	13110	0	13110	5122	8820	0	213	244241	0	144	0	106957	0	925	49741	1883	3446	6609	13458	51130	29864	31793	20348	22435	34505	18636	9185	0	0	0	0	0	0	0	485	3066	0		0	0	317	763	3983	90289	0	144	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
982263																																													0	0	2284		38		74	0			38419	6654	665	0	0	186578	759	0	0	2736	62	2302	66568	299	428	2003	5	0	0	70929	30564	59952	18505	3171	0								454	79			0	0	7474	44750	49265	34383			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
982348																																													0	71482	455		680		32886	0			32914	1456	7706	0	2436	208549	0	0	177	12938	16494	1902	79423	2277	802	3230	3504	2329	796	67062	26160	35262	48393	17058	1129								1349	17			0	0	1412	167	20969	5188			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
982553																																													0	1265	151		8		2761	0			2717	0	444	0	0	30024	110	0	0	8151	249	1631	20073	2746	3341	629	943	492	0	9205	4781	2993	4491	513	0								0	0			0	0	1231	5947	3697	3513			0			0	0	5946	1265	0	8151	249	151	3697	2717	0	0	444	8	5946	1265	0	8151	249	151	3697	2717	0	0	444	0	
982731																																													0	15154	4338		721		999	0			18987	0	11431	0	110	206766	0	0	0	36928	6497	4177	117985	5796	11060	19180	625	155	0	76604	35882	43632	5406	1920	0								0	0			0	0	34698	38313	27593	10997			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
982937																																													0	8395	14085	0	0	0	87	0	3903	0	3903	0	6858	0	0	263022	0	0	0	21620	233	6128	68126	3514	6252	6160	1573	4020	0	62309	54093	56854	17518	20545	15329	0	0	0	0	0	0	0	0	0	0		0	0	6561	77324	0	123956	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
983055																																													0	4644	0		11		3426	54			1000	0	990	0	0	12106	0	0	0	1430	28	1401	3717	298	335	118	242	438	0	3331	2947	813	2329	908	103								0	10			0	0	0	0	480	87			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
983130																																													0	2094	0		74		3077	0			2142	0	4211	0	0	26826	67	0	0	8951	18	8730	11284	803	1963	2765	2764	457	199	4001	8811	1300	3338	489	0								467	0			0	0	269	1326	2111	2153			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
983158																																													0	3980	264		255		12761	0			264	0	376	0	0	18254	0	0	0	0	0	0	6923	0	0	0	0	0	0	1869	5055	4458	2699	3200	974								0	0			0	0	0	173	181	0			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
983215																																													0	43	0		30		0	0			1715	92	3519	0	0	26171	0	3	0	13725	93	7597	3146	6160	1284	215	924	4005	1081	4444	1459	1307	1757	2250	1229								0	0			0	0	0	0	0	6951			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
983448	30104923	1044980	399364	42895	12106706	0	925127	0	93331	45581581	0	14015	17704282	23130750	2029868	5442357	4994561	1290048	96746	0	22865	0	0	0	189	156395	0		0	0	202893	524808	0	0	0	0	0	0	0	0	0	0	0	0	22865	759085	2272098	524951	1044980	520029	399364		12106706	0	12106706	2069628	925127	0	93331	45581581	0	727701		7644060	995924	4621354		661622	888631	1994569	2037072	1695042	149419							22865			0	0			189	156395					1987280	7148716	2941708	4286424			0			36719	64539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
983457																																													0	0	23072	0	24600	24600	0	0	84971	0	84971	8518	13066	0	0	590206	0	0	9925	35652	10	12758	244080	493	2085	5061	4862	4111	18925	318498	82143	40237	39741	9245	11696	0	0	0	0	0	0	0	3346	232	0		0	0	0	299804	26284	70651	0	0	0			0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
983550																																													0	6068	88		60		4249	117			21572	4089	5117	0	2488	91111	0	0	0	12520	4629	96	40587	1358	3401	5423	1524	219	595	15558	20270	25114	13300	2821	893								0	288			0	0	2496	6246	15650	5551			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
984258																																													0	7058	448	2270	2710	440	12699	0	34128	0	34128	0	22899	0	10	157200	5	594	1942	29921	2668	1790	43177	2870	3406	10088	11777	1644	119	49075	14752	25236	31379	5435	448	0	0	0	0	0	0	0	0	290	0		271	223	1135	10038	15684	16923	0	594	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
984351																																													0	3958	0		85		11121	188			1293	0	809	0	0	21026	0	0	0	1799	0	0	10347	196	279	380	925	19	0	6058	7148	2699	3008	298	0								0	0		0	0	0	0	968	0	993			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
984379																																													0	3858	12139	0	491	491	1906	0	90490	0	90490	59532	8052	0	0	736399	1622	0	0	36536	4408	5679	367065	5569	6649	6570	13041	1863	1204	360444	75738	61930	149534	24841	1858	0	0	0	0	0	0	0	2967	1741	0		0	0	191519	121650	111808	90924	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
984454																																													0	14328	177		6		13992	0			6080	698	1164	0	0	48477	0	0	0	7176	1434	0	25301	2181	1803	1952	1003	183	0	7685	13632	9195	4460	2817	1481								0	124		0	0	0	0	94	3204	0			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
984650																																													0	0	0		0		1736	0			111	0	313	0	0	2306	0	0	0	145	0	0	1370	0	43	59	23	20	0	1137	190	177	189	118	350								0	1			0	0	0	0	0	0			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
984856																																													0	10217	290		27		6564	0			10016	0	4886	0	0	55143	0	0	0	18915	534	4191	22525	1054	3112	4532	3994	6100	50	7002	12312	5575	6636	3121	19								0	0			0	0	107	10	3423	154			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
