"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	
761459																							0	0	0	0	0	1600	0	0	0	0	0	0	0	0	0	20	0	0	0	0	1600	0	0	false	0	0	
761543																							0	0	0	629	0	3657	0	0	0	0	0	0	0	0	0	668	1	0	0	1564	1464	0	0	false	0	0	
761833																							0	0	1370	0	0	0	0	0	0	0	0	0	240	0	1130	945	0	0	0	0	0	0	0	false	0	0	
761851																							0	0	0	0	0	7000	0	0	0	0	0	0	0	0	0	144	0	0	0	2000	5000	0	0	false	0	0	
761954																							0	0	138	0	0	0	0	0	0	0	0	0	8	0	130	549	0	0	0	0	0	0	0	false	0	0	
762045																							29	0	0	2650	0	10750	0	0	0	29	0	0	0	0	0	1390	3	0	0	350	7750	0	0	false	0	0	
762054																							0	0	0	2700	0	2700	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	false	0	0	
762353																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	false	0	0	
762429																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3867	1	0	0	0	0	0	0	true	0	0	
762447																							1419	0	835	8000	199	38300	0	0	0	1220	30	0	314	235	256	19176	5	281	0	10000	20300	0	0	true	0	0	
762607																							0	0	0	4000	0	4000	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	false	0	0	
762625																							0	0	76	0	0	0	0	0	0	0	0	0	0	0	76	889	0	0	0	0	0	0	0	false	0	0	
762661																							0	0	37094	570000	0	705000	0	0	0	0	0	0	5575	0	31519	0	0	0	0	135000	0	0	0	false	0	0	
763211																							0	0	40	0	0	0	0	0	0	0	0	0	18	0	22	102	0	0	0	0	0	0	0	false	0	0	
763556																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1691	1	0	0	0	0	0	0	true	0	0	
763752																							0	0	136	0	0	0	0	0	0	0	0	0	136	0	0	163	0	0	0	0	0	0	0	false	0	0	
763930																							0	0	1681	0	0	0	0	0	0	0	0	0	1681	0	0	333	0	0	0	0	0	0	0	false	0	0	
764030																							0	0	24	0	0	9100	0	0	0	0	0	0	24	0	0	3355	1	0	0	0	9100	0	0	true	0	0	
764058																							0	0	0	15880	0	25880	0	0	0	0	0	0	0	0	0	714	1	0	0	6000	4000	0	0	true	0	0	
764067																							0	0	23	0	0	3885	0	0	0	0	0	0	23	0	0	1569	2	0	0	0	3885	0	0	false	0	0	
764142																							0	0	95	0	0	500	0	0	0	0	0	0	65	0	30	742	0	0	0	0	500	0	0	false	0	0	
764151																							0	0	91	0	0	0	0	0	0	0	0	0	0	0	91	144	0	0	0	0	0	0	0	false	0	0	
764414																							29273	0	3397	100220	1902	292017	0	0	0	23544	15	0	422	0	2960	25522	7	1767	3827	76569	115030	0	198	true	0	0	
764441																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	1	0	0	0	0	0	0	false	0	0	
764647																							0	0	0	2000	0	2000	0	0	0	0	0	0	0	0	0	491	5	0	0	0	0	0	0	false	0	0	
764816																							0	0	37	7	0	11171	0	0	0	0	0	0	37	0	0	84	0	0	0	64	11100	0	0	false	0	0	
