"IDRSSD"	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	
2451	0	0	0	0	0	9971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	70	0	0	0	407	0	0	10	0	549	0	0	0	0	0	0	0	0	0	0	2809	7162	0	0	0	0	0	438	0	0	0	0	-107	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	1511	2809	7602	0	302	1405	7602	9309	0	485	485	952	0	
2554	0	0	0	0	0	3556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	898	0	0	5	9	0	0	-57	0	1326	195	0	0	0	0	0	0	0	0	0	69	3487	0	0	0	0	0	220	0	0	0	0	-94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2433	264	3707	0	487	132	3707	4326	0	200	200	693	0	
2732	0	0	0	0	0	290308	0	0	0	2417	2417	0	0	0	2417	0	0	1685	0	0	0	0	0	0	5967	12617	0	0	0	0	0	0	1247	0	67620	1908	1576	0	0	0	0	0	0	0	1496	59671	229141	0	0	0	0	0	10633	1685	181	0	0	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6148	92033	61579	241901	0	18407	30790	241901	291098	0	10300	10300	44672	0	
2750	0	0	0	0	0	34054	0	0	0	10	10	0	0	0	10	0	0	0	0	0	0	0	0	0	168	1187	0	0	0	0	0	0	20	2002	4284	0	0	0	0	0	0	0	0	0	270	2428	31356	0	0	0	0	0	2626	0	6	181	0	-752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	121	0	0	0	2176	7927	2428	33926	0	1585	1214	33926	36725	0	2005	2005	4964	0	
2938	0	0	0	0	0	184997	0	0	0	3987	3987	0	0	0	3987	0	0	0	0	0	0	0	0	0	2499	5997	0	0	0	0	0	0	834	143	37474	2709	32	0	0	0	0	0	0	0	0	29793	155204	0	0	0	0	0	10649	0	1	1275	0	-1639	120	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2124	0	0	0	2124	0	0	0	2643	44746	32502	170840	0	8949	16251	170840	196040	0	0	0	22472	0	
2956	0	0	0	0	0	65090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1159	1869	0	0	0	0	0	0	-147	103	39117	696	25	0	0	0	0	0	0	0	0	24984	40106	0	0	0	0	0	3125	0	0	0	0	-1001	14	0	0	0	14	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	175	0	0	0	1262	51811	25680	43449	0	10362	12840	43449	66651	0	10825	10825	12596	0	
3252	0	0	0	0	0	55100	0	0	0	142	142	0	0	0	142	0	0	0	0	0	0	0	0	0	2086	4222	2	0	0	9330	348	0	-45	0	12520	947	0	0	0	0	0	0	0	0	284	1026	53790	0	0	0	0	0	3659	0	15	472	13	-952	116	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	80	0	0	0	2101	29228	2334	57289	0	5846	1167	57289	64302	0	2400	2400	9592	0	
3458	0	0	0	0	0	8336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4236	0	0	0	0	831	115	796	6110	0	0	0	0	0	0	0	0	0	0	1697	6639	0	0	0	0	0	376	0	0	0	0	-232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	796	7773	1697	12082	0	1555	849	12082	14486	0	1663	1663	2036	0	
3506	0	0	0	0	0	600841	0	0	0	0	0	0	0	0	0	0	54	1848	0	0	0	0	0	488	7004	9716	0	0	0	34647	160	100	927	3854	159986	1956	0	0	0	0	0	0	0	0	817	178126	421898	0	0	0	0	0	42781	1848	730	3247	0	-3524	1120	0	0	0	1120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11588	215738	180242	460074	0	43148	90121	460074	593343	0	7325	7325	66473	0	
3579	0	0	0	0	0	161944	0	0	0	643	643	0	643	0	0	0	0	5555	0	0	0	0	0	0	1987	3331	0	0	0	0	0	0	-501	0	19447	9383	6027	0	0	0	0	0	0	0	0	63991	97953	0	0	0	0	0	14793	5555	0	1480	0	3426	90	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1987	24991	73374	111738	0	4998	36687	111738	153423	0	0	0	14649	0	
