"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	
1011526	37779	900	867	0	48635	12623	0	
1011553	423	0	6	0	417	0	0	
1011638	1576	110	5	0	1469	8	0	
1011656	672	235	1	0	746	310	0	
1011740	135	0	0	0	135	0	0	
1011852	242	18	0	0	225	1	0	
1011955	1041	30	1	0	1018	8	0	
1012055	495	15	8	0	485	13	0	
1012251	363	0	81	0	312	30	0	
1012354	232	8	0	0	224	0	0	
1012457	347	12	3	0	465	133	0	
1012671	2440	150	0	0	2341	51	0	
1012859	322	0	7	0	329	14	0	
1013043	1686	90	12	0	1632	48	0	
1013070	2690	75	0	0	2615	0	0	
1013650	257	0	0	0	257	0	0	
1013735	652	15	7	0	631	1	0	
1013744	193	0	1	0	192	0	0	
1013753	313	0	1	0	313	1	0	
1013856	259	46	4	0	265	56	0	
1014040	1206	90	22	0	1176	82	0	
1014059	484	60	19	0	446	41	0	
1014125	1472	90	9	0	1402	29	0	
1014246	349	0	12	0	337	0	0	
1014255	156	0	4	0	156	0	0	
1014376	870	13	3	0	877	23	0	
1014451	285	0	6	0	279	0	0	
1014554	511	9	0	0	505	3	0	
1014657	1112	13	3	0	1100	4	0	
1014675	147	0	0	0	148	1	0	
1014778	3023	120	0	0	2903	0	0	
1014844	227	3	0	0	224	0	0	
1014853	810	43	57	0	775	65	0	
1014956	450	60	2	0	406	18	0	
1014965	274	78	8	0	266	78	0	
1015056	553	0	2	0	551	0	0	
1015177	250	0	0	0	250	0	0	
1015243	5447	206	109	0	5193	61	0	
1015252	1085	0	26	0	1089	30	0	
1015458	224	0	0	0	224	0	0	
1015467	710	30	3	0	678	1	0	
1015560	924	150	0	0	1066	292	0	
1015832	579	0	2	0	602	25	0	
1015841	357	50	4	0	382	79	0	
1015850	2182	118	21	0	2069	26	0	
1016062	1230	-41	0	0	1285	0	-14	
1016231	380	58	2	0	380	60	0	
1016259	2502	150	22	0	2336	6	0	
1016558	392	0	1	0	423	32	0	
1016718	1470	65	25	0	1440	60	0	
1016754	160	6	1	0	153	0	0	
1016772	658	-47	7	0	698	0	0	
1016848	339	1	2	0	337	1	0	
1016857	1729	165	29	0	1646	111	0	
1016941	1080	31	3	0	1046	0	0	
1017032	1627	135	30	0	1538	76	0	
