RCON0211,RCON1039,RCON1041,RCON1042,RCON1043,RCON1044,RCON1209,RCON1280,RCON1281,RCON1282,RCON1287,RCON1374,RCON1709,RCON1713,RCON1733,RCON1736,RCON1752,RCON1754,RCON1773,RCON2155,RCON2163,RCON2192,RCON2920,RCON2941,RCON3129,RCON3190,RCON3545,RCON3548,RCON8492,RCON8495,RCON8496,RCON8499,RCONA510,RCONB989,RCONB995,RCONG389,RCONG390,RCONG393,RCONG394,RCONG397,RCONG398,RCONG399,RCONG400,RCONHT71,RCONJA22,RCONJF75,IDRSSD,RCON9999
0,,,,,,,,,,0,,0,0,0,0,834,0,6362,,,,,,,12025,0,0,,,0,3750,0,0,0,,,,,,,,,,,,14155,2009-03-31
0,,,,,,,,,,0,,0,0,0,4232,162,1482,8005,,,,,,,850,0,0,,,994,0,0,0,0,,,,,,,,,,,,14454,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,112,3625,31,,,,,,,0,0,0,,,375,0,0,0,0,,,,,,,,,,,,14650,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,9,8613,9326,,,,,,,0,0,0,,,2951,3425,0,0,0,,,,,,,,,,,,14753,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,560,0,31568,,,,,,,21507,0,0,,,0,10515,0,0,0,,,,,,,,,,,,14865,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,185,80,6075,,,,,,,222,0,0,,,0,0,0,0,0,,,,,,,,,,,,14977,2009-03-31
0,,,,,,,,,,1372,,0,41763,0,114614,33103,0,237410,,,,,,,1412500,0,0,,,0,12394,4204,0,0,,,,,,,,,,,,15536,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,2358,0,84202,,,,,,,29000,0,0,,,0,28064,0,0,6023,,,,,,,,,,,,16337,2009-03-31
0,,,,,,,,,,3554,,0,0,0,0,788,19120,44275,,,,,,,0,0,0,,,18480,15473,0,0,0,,,,,,,,,,,,16458,2009-03-31
0,,,,,,,,,,0,,0,0,0,1167,3377,0,13663,,,,,,,23931,0,0,,,0,4839,0,0,0,,,,,,,,,,,,16551,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,294,4957,12824,,,,,,,2000,0,0,,,4957,0,0,0,0,,,,,,,,,,,,16748,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,0,9735,,,,,,,0,0,0,,,0,6832,0,0,0,,,,,,,,,,,,16944,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,110,12614,,,,,,,0,0,0,,,110,0,0,0,0,,,,,,,,,,,,16953,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,219,0,11106,,,,,,,0,0,0,,,0,0,11106,0,0,,,,,,,,,,,,17110,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,11320,2034,152468,,,,,,,136621,0,0,,,2028,61405,0,0,56791,,,,,,,,,,,,17147,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,420,6,25965,,,,,,,3500,0,0,,,0,10662,0,0,0,,,,,,,,,,,,17259,2009-03-31
0,,,,,,,,,,0,,0,0,0,23058,10472,2210,101130,,,,,,,249519,0,0,,,2210,1544,427,0,3703,,,,,,,,,,,,17464,2009-03-31
