RIAD3210,RIAD3217,RIAD4356,RIAD4415,RIAD4460,RIAD4470,RIADB507,RIADB508,RIADB509,RIADB510,RIADB511,IDRSSD,RCON9999
8592,7227,0,0,650,0,41,7268,0,0,1159,320034,2019-09-30
40631,38976,0,0,1232,0,0,38976,0,0,235,320052,2019-09-30
36243,27815,8153,0,0,0,0,27815,0,0,143,320070,2019-09-30
1051528,938541,0,0,4400,0,0,938541,0,0,38194,320119,2019-09-30
2675,2419,0,0,75,0,0,2419,0,0,195,321152,2019-09-30
3747,3631,0,0,300,0,0,3631,0,0,0,321255,2019-09-30
61894,60720,0,0,0,0,0,60720,264,0,446,321273,2019-09-30
6756,5961,0,0,0,0,0,5961,0,0,307,321330,2019-09-30
54247,47966,0,0,1117,0,0,47966,0,0,3307,321947,2019-09-30
68477,64583,0,0,2128,0,0,64583,0,0,1640,322056,2019-09-30
8611,7915,0,0,0,0,-24,7891,0,0,116,322449,2019-09-30
1162,1185,0,0,0,0,0,1185,0,0,35,322476,2019-09-30
2710,2381,0,0,19,0,0,2381,0,0,127,322551,2019-09-30
11124,9842,0,0,960,0,0,9842,0,0,911,322850,2019-09-30
92797,84409,0,0,3852,0,0,84409,0,0,4139,323204,2019-09-30
32173,30067,0,0,600,0,0,30067,0,0,739,323651,2019-09-30
25120,21648,0,0,0,0,0,21648,0,0,1708,324153,2019-09-30
6497,5872,0,0,94,0,0,5872,0,0,355,324229,2019-09-30
5948,5437,0,0,600,0,0,5437,0,0,0,324256,2019-09-30
60479,59933,0,0,0,0,0,59933,0,0,3265,324274,2019-09-30
81168,75314,0,11,3224,0,0,75314,0,0,3795,324340,2019-09-30
21122,16706,0,0,0,0,0,16706,0,0,2598,324854,2019-09-30
203253,182332,0,0,600,0,0,182332,0,0,583,324863,2019-09-30
15238,13975,0,0,0,0,0,13975,0,0,735,324975,2019-09-30
40520,39573,0,0,1725,0,0,39573,0,0,1124,325141,2019-09-30
5299,4817,0,0,0,0,0,4817,0,0,155,325459,2019-09-30
29050,26037,0,0,1503,0,0,26037,0,0,1787,325534,2019-09-30
33139,31807,0,0,2114,0,0,31807,0,0,1115,326054,2019-09-30
52483,46595,0,0,360,0,0,46595,0,0,1806,326344,2019-09-30
168040,153575,0,0,4801,0,0,153575,0,0,8258,326858,2019-09-30
77318,71702,0,0,40,0,0,71702,0,0,2266,326979,2019-09-30
11480,10806,0,0,160,0,0,10806,0,0,167,327220,2019-09-30
84587,78293,0,0,2221,0,0,78293,0,0,1899,327305,2019-09-30
53697,46850,0,0,1240,0,0,46850,0,0,4104,327435,2019-09-30
24005,20740,0,0,0,0,0,20740,0,0,1092,327556,2019-09-30
75954,70061,0,0,5657,0,0,70061,0,0,1765,327855,2019-09-30
7280,6907,0,0,600,0,0,6907,0,0,413,328058,2019-09-30
17370,13758,0,2800,1610,0,0,13758,0,0,175,328357,2019-09-30
18718,18253,0,0,1647,0,0,18253,0,0,72,328656,2019-09-30
289585,271179,0,0,0,0,0,271179,0,0,10942,328777,2019-09-30
14146,13755,0,0,989,0,0,13755,0,0,405,329149,2019-09-30
51544,47161,0,0,1305,0,0,47161,0,0,1552,329345,2019-09-30
